,0,1,2,3,4,5,6,7
0,0,0,0,1,1,1,1,1
1,1,1,1,1,0,1,1,0
2,1,1,0,1,0,0,1,1
3,1,0,0,1,0,0,1,0
4,1,1,1,1,0,1,0,1
5,1,0,1,1,0,1,0,1
6,1,0,1,0,0,1,0,0
7,0,1,1,0,0,0,0,0
8,1,1,1,0,0,0,1,0
9,0,0,0,0,0,0,0,0
10,1,1,1,0,0,1,0,1
11,0,1,1,0,0,1,0,0
12,0,1,0,0,0,1,0,0
13,1,1,1,0,0,1,1,0
14,0,0,1,0,1,1,0,1
15,1,1,1,1,0,0,0,0
16,0,1,1,1,0,1,0,1
17,1,1,0,1,0,0,1,0
18,1,1,1,1,0,1,0,0
19,1,0,1,1,0,1,0,0
20,1,1,1,0,0,0,0,1
21,0,0,1,1,0,1,0,0
22,1,0,1,0,0,1,0,1
23,1,1,1,0,0,1,0,0
24,0,1,1,1,0,1,0,0
25,1,0,0,1,1,1,1,1
26,0,0,1,0,0,1,0,0
27,1,1,1,1,0,1,1,1
28,1,1,1,0,0,0,0,0
29,0,1,1,0,0,0,0,1
30,1,1,1,0,0,0,1,1
31,1,1,1,0,0,1,1,1
32,0,1,1,0,0,1,0,1
33,0,0,1,1,0,0,0,0
34,1,1,1,1,0,0,0,1
