,healthy0,healthy1,healthy2,healthy3,CRC0,CRC1,CRC2,CRC3,IBD0,IBD1,IBD2,IBD3
healthy0,,0.25384615384615383,0.3727272727272727,0.358974358974359,0.15384615384615385,0.24444444444444444,0.2638888888888889,0.3194444444444444,0.18333333333333335,0.11309523809523808,0.06666666666666667,0.22619047619047616
healthy1,0.25384615384615383,,0.4423076923076923,0.27622377622377625,0.23776223776223776,0.32539682539682535,0.24786324786324787,0.25,0.13571428571428573,0.25,0.14583333333333331,0.17708333333333331
healthy2,0.3727272727272727,0.4423076923076923,,0.2785714285714286,0.0625,0.2361111111111111,0.15555555555555556,0.24230769230769234,0.12237762237762238,0.1575757575757576,0.1813186813186813,0.2692307692307693
healthy3,0.358974358974359,0.27622377622377625,0.2785714285714286,,0.27622377622377625,0.22875816993464052,0.4166666666666667,0.4182692307692308,0.0787878787878788,0.1534090909090909,0.21666666666666667,0.26136363636363635
CRC0,0.15384615384615385,0.23776223776223776,0.0625,0.27622377622377625,,0.19934640522875818,0.4431818181818182,0.24230769230769234,0.17692307692307693,0.24475524475524477,0.14583333333333331,0.19518716577540107
CRC1,0.24444444444444444,0.32539682539682535,0.2361111111111111,0.22875816993464052,0.19934640522875818,,0.22916666666666666,0.29166666666666663,0.03125,0.3307692307692308,0.12990196078431374,0.2471590909090909
CRC2,0.2638888888888889,0.24786324786324787,0.15555555555555556,0.4166666666666667,0.4431818181818182,0.22916666666666666,,0.3806818181818182,0.09126984126984126,0.29464285714285715,0.0625,0.09375
CRC3,0.3194444444444444,0.25,0.24230769230769234,0.4182692307692308,0.24230769230769234,0.29166666666666663,0.3806818181818182,,0.0,0.20714285714285713,0.1534090909090909,0.1846590909090909
IBD0,0.18333333333333335,0.13571428571428573,0.12237762237762238,0.0787878787878788,0.17692307692307693,0.03125,0.09126984126984126,0.0,,0.125,0.21328671328671328,0.15476190476190477
IBD1,0.11309523809523808,0.25,0.1575757575757576,0.1534090909090909,0.24475524475524477,0.3307692307692308,0.29464285714285715,0.20714285714285713,0.125,,0.10238095238095238,0.13571428571428573
IBD2,0.06666666666666667,0.14583333333333331,0.1813186813186813,0.21666666666666667,0.14583333333333331,0.12990196078431374,0.0625,0.1534090909090909,0.21328671328671328,0.10238095238095238,,0.458041958041958
IBD3,0.22619047619047616,0.17708333333333331,0.2692307692307693,0.26136363636363635,0.19518716577540107,0.2471590909090909,0.09375,0.1846590909090909,0.15476190476190477,0.13571428571428573,0.458041958041958,
