,healthy0,healthy1,healthy2,healthy3,T2D0,T2D1,T2D2,T2D3,CRC0,CRC1,CRC2,CRC3,IBD0,IBD1,IBD2,IBD3
healthy0,,0.21666666666666667,0.2264957264957265,0.2,0.33035714285714285,0.22424242424242424,0.17045454545454547,0.24475524475524477,0.1525974025974026,0.24444444444444444,0.2638888888888889,0.26495726495726496,0.1,0.15705128205128205,0.10512820512820513,0.0625
healthy1,0.21666666666666667,,0.44155844155844154,0.3,0.25,0.3916666666666667,0.21666666666666667,0.3205128205128205,0.25833333333333336,0.18888888888888888,0.35,0.2638888888888889,0.0,0.17142857142857143,0.1955128205128205,0.14285714285714285
healthy2,0.2264957264957265,0.44155844155844154,,0.2875,0.26785714285714285,0.3916666666666667,0.2777777777777778,0.31666666666666665,0.15714285714285714,0.18888888888888888,0.21634615384615385,0.2094017094017094,0.08846153846153847,0.13333333333333333,0.15384615384615385,0.14285714285714285
healthy3,0.2,0.3,0.2875,,0.4017857142857143,0.35,0.3137254901960784,0.32167832167832167,0.3916666666666667,0.15625,0.2863247863247863,0.23076923076923078,0.23809523809523808,0.1845238095238095,0.13221153846153846,0.16666666666666666
T2D0,0.33035714285714285,0.25,0.26785714285714285,0.4017857142857143,,0.20170454545454547,0.3968253968253968,0.33712121212121215,0.28968253968253965,0.25555555555555554,0.24107142857142858,0.17857142857142858,0.2589285714285714,0.1,0.09375,0.125
T2D1,0.22424242424242424,0.3916666666666667,0.3916666666666667,0.35,0.20170454545454547,,0.36875,0.16346153846153846,0.2159090909090909,0.23295454545454547,0.2692307692307692,0.2597402597402597,0.1575757575757576,0.26969696969696966,0.29166666666666663,0.28846153846153844
T2D2,0.17045454545454547,0.21666666666666667,0.2777777777777778,0.3137254901960784,0.3968253968253968,0.36875,,0.2916666666666667,0.18333333333333335,0.43253968253968256,0.21180555555555555,0.3111111111111111,0.1625,0.2159090909090909,0.16666666666666666,0.23796791443850268
T2D3,0.24475524475524477,0.3205128205128205,0.31666666666666665,0.32167832167832167,0.33712121212121215,0.16346153846153846,0.2916666666666667,,0.28321678321678323,0.2121212121212121,0.30341880341880345,0.2923076923076923,0.2159090909090909,0.35384615384615387,0.06512605042016806,0.21666666666666667
CRC0,0.1525974025974026,0.25833333333333336,0.15714285714285714,0.3916666666666667,0.28968253968253965,0.2159090909090909,0.18333333333333335,0.28321678321678323,,0.13823529411764707,0.19230769230769232,0.19285714285714284,0.17692307692307693,0.24475524475524477,0.19886363636363635,0.1846590909090909
CRC1,0.24444444444444444,0.18888888888888888,0.18888888888888888,0.15625,0.25555555555555554,0.23295454545454547,0.43253968253968256,0.2121212121212121,0.13823529411764707,,0.30952380952380953,0.48351648351648346,0.03125,0.22402597402597402,0.12990196078431374,0.25625
CRC2,0.2638888888888889,0.35,0.21634615384615385,0.2863247863247863,0.24107142857142858,0.2692307692307692,0.21180555555555555,0.30341880341880345,0.19230769230769232,0.30952380952380953,,0.3806818181818182,0.09126984126984126,0.15714285714285714,0.14545454545454545,0.3660714285714286
CRC3,0.26495726495726496,0.2638888888888889,0.2094017094017094,0.23076923076923078,0.17857142857142858,0.2597402597402597,0.3111111111111111,0.2923076923076923,0.19285714285714284,0.48351648351648346,0.3806818181818182,,0.08571428571428572,0.20714285714285713,0.17941176470588235,0.2785714285714286
IBD0,0.1,0.0,0.08846153846153847,0.23809523809523808,0.2589285714285714,0.1575757575757576,0.1625,0.2159090909090909,0.17692307692307693,0.03125,0.09126984126984126,0.08571428571428572,,0.23333333333333334,0.21328671328671328,0.16233766233766234
IBD1,0.15705128205128205,0.17142857142857143,0.13333333333333333,0.1845238095238095,0.1,0.26969696969696966,0.2159090909090909,0.35384615384615387,0.24475524475524477,0.22402597402597402,0.15714285714285714,0.20714285714285713,0.23333333333333334,,0.15625,0.23636363636363636
IBD2,0.10512820512820513,0.1955128205128205,0.15384615384615385,0.13221153846153846,0.09375,0.29166666666666663,0.16666666666666666,0.06512605042016806,0.19886363636363635,0.12990196078431374,0.14545454545454545,0.17941176470588235,0.21328671328671328,0.15625,,0.3151515151515152
IBD3,0.0625,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.125,0.28846153846153844,0.23796791443850268,0.21666666666666667,0.1846590909090909,0.25625,0.3660714285714286,0.2785714285714286,0.16233766233766234,0.23636363636363636,0.3151515151515152,
