,healthy0,healthy1,healthy2,healthy3,T2D0,T2D1,T2D2,T2D3,CRC0,CRC1,CRC2,CRC3,IBD0,IBD1,IBD2,IBD3
healthy0,,0.17094017094017094,0.2532467532467533,0.2727272727272727,0.21634615384615385,0.4807692307692308,0.21634615384615385,0.2738095238095238,0.26495726495726496,0.18888888888888888,0.375,0.24444444444444444,0.13571428571428573,0.25,0.11274509803921567,0.3125
healthy1,0.17094017094017094,,0.25,0.15384615384615385,0.2727272727272727,0.3,0.15384615384615385,0.3205128205128205,0.20833333333333334,0.3035714285714286,0.25,0.14375,0.17045454545454547,0.37606837606837606,0.1,0.175
healthy2,0.2532467532467533,0.25,,0.5,0.5,0.24786324786324787,0.16666666666666666,0.3522727272727273,0.16666666666666666,0.21428571428571427,0.3205128205128205,0.14285714285714285,0.08333333333333333,0.21666666666666667,0.10714285714285714,0.038461538461538464
healthy3,0.2727272727272727,0.15384615384615385,0.5,,0.48484848484848486,0.3333333333333333,0.21428571428571427,0.24230769230769234,0.24786324786324787,0.22916666666666666,0.24107142857142858,0.21428571428571427,0.07142857142857142,0.18831168831168832,0.13541666666666666,0.17094017094017094
T2D0,0.21634615384615385,0.2727272727272727,0.5,0.48484848484848486,,0.2642857142857143,0.21428571428571427,0.3,0.3055555555555556,0.22916666666666666,0.2932692307692308,0.2698412698412698,0.1653846153846154,0.1,0.09375,0.17094017094017094
T2D1,0.4807692307692308,0.3,0.24786324786324787,0.3333333333333333,0.2642857142857143,,0.13823529411764707,0.4027777777777778,0.25595238095238093,0.15656565656565657,0.25625,0.22916666666666666,0.18333333333333335,0.29166666666666663,0.22767857142857142,0.28321678321678323
T2D2,0.21634615384615385,0.15384615384615385,0.16666666666666666,0.21428571428571427,0.21428571428571427,0.13823529411764707,,0.19230769230769232,0.225,0.2767857142857143,0.23076923076923078,0.2222222222222222,0.18253968253968253,0.14285714285714285,0.1846590909090909,0.2403846153846154
T2D3,0.2738095238095238,0.3205128205128205,0.3522727272727273,0.24230769230769234,0.3,0.4027777777777778,0.19230769230769232,,0.1845238095238095,0.26666666666666666,0.3833333333333333,0.25757575757575757,0.15476190476190477,0.28181818181818186,0.12708333333333333,0.12424242424242424
CRC0,0.26495726495726496,0.20833333333333334,0.16666666666666666,0.24786324786324787,0.3055555555555556,0.25595238095238093,0.225,0.1845238095238095,,0.2361111111111111,0.3418803418803419,0.3142857142857143,0.4278846153846154,0.10096153846153846,0.3833333333333333,0.5844155844155844
CRC1,0.18888888888888888,0.3035714285714286,0.21428571428571427,0.22916666666666666,0.22916666666666666,0.15656565656565657,0.2767857142857143,0.26666666666666666,0.2361111111111111,,0.21180555555555555,0.34444444444444444,0.1625,0.36428571428571427,0.12179487179487179,0.1736111111111111
CRC2,0.375,0.25,0.3205128205128205,0.24107142857142858,0.2932692307692308,0.25625,0.23076923076923078,0.3833333333333333,0.3418803418803419,0.21180555555555555,,0.25,0.16666666666666669,0.2833333333333333,0.1388888888888889,0.3194444444444444
CRC3,0.24444444444444444,0.14375,0.14285714285714285,0.21428571428571427,0.2698412698412698,0.22916666666666666,0.2222222222222222,0.25757575757575757,0.3142857142857143,0.34444444444444444,0.25,,0.12032085561497327,0.20833333333333331,0.16025641025641024,0.26666666666666666
IBD0,0.13571428571428573,0.17045454545454547,0.08333333333333333,0.07142857142857142,0.1653846153846154,0.18333333333333335,0.18253968253968253,0.15476190476190477,0.4278846153846154,0.1625,0.16666666666666669,0.12032085561497327,,0.11025641025641025,0.5,0.35858585858585856
IBD1,0.25,0.37606837606837606,0.21666666666666667,0.18831168831168832,0.1,0.29166666666666663,0.14285714285714285,0.28181818181818186,0.10096153846153846,0.36428571428571427,0.2833333333333333,0.20833333333333331,0.11025641025641025,,0.12549019607843137,0.15476190476190477
IBD2,0.11274509803921567,0.1,0.10714285714285714,0.13541666666666666,0.09375,0.22767857142857142,0.1846590909090909,0.12708333333333333,0.3833333333333333,0.12179487179487179,0.1388888888888889,0.16025641025641024,0.5,0.12549019607843137,,0.3356643356643357
IBD3,0.3125,0.175,0.038461538461538464,0.17094017094017094,0.17094017094017094,0.28321678321678323,0.2403846153846154,0.12424242424242424,0.5844155844155844,0.1736111111111111,0.3194444444444444,0.26666666666666666,0.35858585858585856,0.15476190476190477,0.3356643356643357,
