"","SAMD00115014","SAMD00114972","SAMD00115021","SAMD00114969","SAMD00115020","SAMD00115029","SAMD00115026","SAMD00115028","SAMD00115030","SAMD00115031","SAMD00115034","SAMD00115035","SAMD00115000","SAMD00114737","SAMD00114738","SAMD00114739","SAMD00114744","SAMD00114746","SAMD00114748","SAMD00114740","SAMD00114742","SAMD00114743","SAMD00114759","SAMD00114760","SAMD00114761","SAMD00114762","SAMD00114763","SAMD00114764","SAMD00114755","SAMD00114765","SAMD00114978","SAMD00114766","SAMD00114767","SAMD00114768","SAMD00114772","SAMD00114722","SAMD00114723","SAMD00114724","SAMD00114793","SAMD00114794","SAMD00114797","SAMD00114799","SAMD00114753","SAMD00114754","SAMD00114749","SAMD00114750","SAMD00114782","SAMD00114774","SAMD00114775","SAMD00114776","SAMD00114777","SAMD00114731","SAMD00114732","SAMD00114733","SAMD00114726","SAMD00114727","SAMD00114728","SAMD00114729","SAMD00114788","SAMD00114790","SAMD00114786","SAMD00115006","SAMD00115007","SAMD00115011","SAMD00115013","SAMD00115010","SAMD00114816","SAMD00114804","SAMD00114805","SAMD00114806","SAMD00114808","SAMD00114810","SAMD00114811","SAMD00114813","SAMD00114814","SAMD00114826","SAMD00114822","SAMD00114823","SAMD00114857","SAMD00114825","SAMD00114817","SAMD00114835","SAMD00114836","SAMD00114803","SAMD00114841","SAMD00114844","SAMD00114846","SAMD00114848","SAMD00114849","SAMD00114863","SAMD00114852","SAMD00114868","SAMD00114839","SAMD00114840","SAMD00114856","SAMD00114870","SAMD00114871","SAMD00114927","SAMD00114891","SAMD00114939","SAMD00114892","SAMD00114893","SAMD00114875","SAMD00114931","SAMD00114894","SAMD00114933","SAMD00114941","SAMD00114896","SAMD00114897","SAMD00114877","SAMD00114878","SAMD00114934","SAMD00114935","SAMD00114943","SAMD00114944","SAMD00114909","SAMD00114919","SAMD00114920","SAMD00114949","SAMD00114910","SAMD00114911","SAMD00114921","SAMD00114922","SAMD00114951","SAMD00114912","SAMD00114952","SAMD00114924","SAMD00114954","SAMD00114914","SAMD00114946","SAMD00114925","SAMD00114956","SAMD00114915","SAMD00114916","SAMD00114917","SAMD00114948","SAMD00114957","SAMD00114958","SAMD00114879","SAMD00114960","SAMD00114883","SAMD00114884","SAMD00114902","SAMD00114903","SAMD00114964","SAMD00114905","SAMD00114965","SAMD00114907","SAMD00114966","SAMD00114886","SAMD00164694","SAMD00164695","SAMD00164721","SAMD00164745","SAMD00154993","SAMD00164767","SAMD00164769","SAMD00154994","SAMD00164771","SAMD00154995","SAMD00164776","SAMD00164778","SAMD00164779","SAMD00164780","SAMD00164812","SAMD00164817","SAMD00164818","SAMD00164820","SAMD00164821","SAMD00164822","SAMD00164826","SAMD00164829","SAMD00164830","SAMD00164831","SAMD00164832","SAMD00164834","SAMD00164836","SAMD00164838","SAMD00164839","SAMD00164841","SAMD00164842","SAMD00164843","SAMD00164844","SAMD00164845","SAMD00164846","SAMD00164847","SAMD00164850","SAMD00164851","SAMD00164852","SAMD00164854","SAMD00164858","SAMD00164859","SAMD00164860","SAMD00164861","SAMD00164863","SAMD00164864","SAMD00164866","SAMD00164867","SAMD00164868","SAMD00164869","SAMD00164871","SAMD00164880","SAMD00164883","SAMD00164884","SAMD00164885","SAMD00164889","SAMD00164903","SAMD00164905","SAMD00164907","SAMD00164910","SAMD00164912","SAMD00164913","SAMD00164919","SAMD00164928","SAMD00164932","SAMD00164937","SAMD00164940","SAMD00164944","SAMD00164946","SAMD00164968","SAMD00164970","SAMD00164971","SAMD00164974","SAMD00164975","SAMD00164976","SAMD00164977","SAMD00164978","SAMD00164979","SAMD00164980","SAMD00164981","SAMD00164982","SAMD00164984","SAMD00164985","SAMD00164987","SAMD00164988","SAMD00164989","SAMD00164990","SAMD00164991","SAMD00164992","SAMD00164993","SAMD00164994","SAMD00164995","SAMD00164997","SAMD00164998","SAMD00165000","SAMD00165002","SAMD00165003","SAMD00165005","SAMD00165006","SAMD00165007","SAMD00165009","SAMD00165011","SAMD00165012","SAMD00165014","SAMD00165016","SAMD00165017","SAMD00165018","SAMD00165019"
"Phocaeicola plebeius",0,5.79278,0.83137,0,0,23.95179,5.39012,0.01545,12.63616,26.83222,0.00316,1.81521,0,0,0,6.82929,34.54889,0,4.24677,0,0,0,1.18087,0,0.00073,31.95761,7.35136,0.55963,0,0,0,0,0,14.48476,5.48132,0.01312,2e-04,0.00768,1.18379,0,0.00567,0,3.60366,39.90938,0.56569,0.23799,0,0,0.08756,0,0.48479,1.28301,0,0.0705,6.22795,0.14294,0,0,0.00445,0.54745,0,4.02608,0,0.02296,0,0,18.80941,5.17351,10.9824,0,0,29.26763,0,0,0,0,0,0,0,0,0,3.80812,0,1.96184,3.24217,0,9.78871,9.52538,0,1.09018,11.67308,1.84376,7.9701,1.12793,0,11.32498,3.82924,0,10.06706,2.35141,0.00395,0,39.40118,8.73183,17.84428,7.4558,0,24.06308,29.92512,0.1896,10.15859,4.51958,0,4.42072,0.02787,9.32476,0,8.76712,0,0,0,0,27.16877,0,1.05754,0,0,0,0,0.07605,8.65933,36.14821,0,0,1.59404,0.45944,2.86157,29.96252,17.58561,6.30101,18.75585,10.41882,0,0,0,20.56154,0,3.91796,0,26.09667,0,0,0,0,0,0,17.82772,0,0,0,29.0796,0,0,14.89735,0,29.05777,0,0,0,1.36341,62.0474,24.53921,4.08716,0.57449,30.05547,1.34642,0,0,0,1.75735,0,0,5.31804,0,0,0,0,6.10499,26.13885,6.48692,9.47305,0,0,0,7.19978,0,0,49.67856,0,0,0,0,33.82088,0,16.37971,0,13.62508,3.93128,15.78718,11.21085,3.54738,0.50596,0,0,0,12.38669,0.64884,17.95884,0,0,0,0,5.33676,0,14.49749,9.88344,0,0,3.1781,0.56807,0,0,8.34015,0.78325,1.06145,2.10822,0,0,0,0.90261,0,24.40815,28.90876,0,0,17.99094,0,0,24.08874,0.41172,0,1.66083,2.47327,3.179,22.44774,0,0,0
"Phocaeicola dorei",0,0.02586,0,0,0,2.82612,0.03842,0.09592,7.92566,0.00203,0,8.09793,0,3.06024,0,0,1.62911,6.19874,0.02556,9.93154,33.23776,0,8.84003,0,0.29281,0.04828,12.55742,0.33996,0,0.00029,0.0032,0,12.53405,0.06328,9.55703,4.04432,0,23.85792,0.16104,11.57188,1.56275,2.68883,0,0,5.58564,3.4869,0,1.68459,0.0142,3.09519,0.04739,0,23.27398,1.11533,0.00363,6.35268,3.05716,12.62917,8.58116,0.03356,46.98214,0.03319,0,0.12969,1.60126,0.40483,0.0566,0,0.09732,0,0,4.7802,7.36176,0.01425,0.59522,6.03076,39.65296,6.47531,0,9.16496,0,0,19.16923,1.39328,5.54919,0,0,0,0.18866,3.3889,0,0.01444,0.12728,0.53774,0,0,0.57943,0,11.4669,1.83165,0.95403,0,4.4592,0,0.68739,0.0929,0.00069,11.51958,15.64046,0.00261,5.61957,0.61647,0.16402,1.33661,2.68505,0,0,0,0.28958,2.90608,0,11.53324,0,4.13691,0,16.85298,4.37448,0,0,17.2592,0.9197,13.79784,0,16.86273,0,3.86419,2.49921,0.34841,6.46751,8.36379,28.23695,0,0.45186,0,0,4.51922,5.86322,0.07524,0,0,12.27208,0,0,0,19.73466,0.08103,1.29319,10.30193,0,0,3.4184,0,14.39595,0,5.67129,0.01154,0.75673,0.68099,0,0,0,0,0.14846,0,0,0,0,0,0,0.0027,38.16782,8.2777,0.01192,0.33702,12.10125,31.79745,1.94137,0,40.57512,0,3.56997,0.61772,0.72986,0.50786,3.67036,0.70192,5.72312,2.71623,0,0,1.45739,0,0.03037,0,0.81168,0,0.03833,0,0,25.69288,0.62142,0.00346,0,0.86742,0,0.30471,0,0,0,0,0,14.22511,1.60569,0,10.8519,3.55877,0,9.11768,0,0,3.78337,59.03582,0,1.60974,4.5672,0.43861,0,0,4.45159,0.09314,17.68613,14.08022,33.0654,0,0,2.27788,2.33403,0,0,1.11586,5.99545,0.52518,0,0,0,5.61674,0,14.07436
"Faecalibacterium prausnitzii",0.15268,6.86774,5.86571,0,13.47494,5.48669,2.27586,12.85298,15.43844,5.4928,3.74405,0.82504,0,6.81188,0,2.68498,0.78763,0.9373,2.69098,9.41434,1.04793,1.70919,1.48205,3.11395,5.38657,0.8626,5.24613,4.11604,0.01465,5.44688,0.99626,0,3.04655,1.42186,0.00228,0.61176,0.74673,1.1717,5.2541,0.04737,3.59585,4.5413,7.08183,0.68054,6.72705,3.31747,5.52424,2.06142,10.13096,4.26212,0.97974,6.84852,2.92671,1.56468,1.32432,1.95862,6.66608,6.13014,5.35779,3.25878,0.9915,2.36033,9.00522,3.38744,1.72419,1.50367,0.52226,3.31787,3.00346,0,2.03133,3.30038,2.14835,0.64398,0.28149,2.06028,0,7.90059,5.79492,1.52114,2.70315,0,0,3.22585,5.14091,1.67521,0.70964,1.35405,10.26424,0.4346,4.24152,6.29627,2.5241,5.70918,0.25281,11.13534,3.79298,15.02271,8.18671,2.70398,2.57671,0,0,2.39878,0,1.31532,12.40124,0,1.95223,1.30613,0.0753,2.80958,0,13.80643,2.41857,5.51318,7.5862,0.12785,4.05568,4.39401,0.20656,1.70152,0.16361,21.26426,2.33164,7.62255,11.25972,2.79682,0.22005,0.27285,5.18397,3.11934,6.60731,6.22884,0,1.54855,6.56466,9.50569,1.16781,2.37274,0,0.85409,0.06078,4.83171,0.2552,0,4.17247,0.58531,2.18314,0.86272,6.87968,0.87451,4.71643,0.53087,3.38893,7.19364,4.12414,7.80537,2.21666,0.71465,6.20251,6.1342,4.0006,0.32077,1.41644,1.62125,7.49403,2.06137,0,2.35199,0,0,4.09899,4.64081,0.56185,0.00968,3.70835,2.10735,0.9225,1.12665,3.2601,2.50638,1.27273,2.70085,2.81117,2.17684,0.0724,2.88848,2.54649,2.00362,5.68206,0,1.52566,0,2.42924,3.44339,2.04048,0,1.02616,1.33482,9.0699,3.67063,4.64513,6.88131,0,0.13057,5.00327,0.63786,4.43107,0,1.72469,2.02447,2.45987,3.71222,2.7708,5.81215,0,6.13716,11.3563,0,0,3.76807,1.44345,0.08327,2.44839,1.24997,0,4.40123,2.38682,0.00584,2.67937,1.45535,9.46516,7.10849,4.47821,0.50033,0.00503,0,0.10041,2.99799,4.43852,5.58458,0.88247,0.45024,10.84732,1.2213,0.13,2.31272,0.24043,8.30477,4.65406,6.60564,9.12281,14.65599,1.97478,3.05254,0,2.20529
"Lachnospira eligens",0.01092,4.05112,2.06386,0,0.29955,2.06393,0,0,1.94904,3.39196,0.00413,0,0.49394,0.10312,0,0,0,0.01111,0,2.95303,0,0.08839,5.69416,0.61435,1.35763,0,9.78305,0.04619,0.10784,0,0,0,0,0.71997,0,0.95398,0,0,0.2575,0,0,0,0,0,1.93104,0.5647,0,0,0.15231,4.83162,1.97309,2.8029,0,0,0.02129,1.40748,0,2.92558,0,0,0,0,0,0.66839,0.53832,0,0,8.40479,1.04056,0,4.95502,0,0.08326,0,0.15542,0.60161,0,1.31024,0.18064,0,0.84918,0,0,0,3.77733,0.08674,0,10.06952,0.48986,0.17646,2.39033,1.0491,0,0.07018,0,0,1.92567,3.9071,3.4272,0.82141,1.19909,0,0,0.05383,0,0,1.69591,2.39002,0,0.66404,0,0,0,0,0.72725,1.16701,4.57989,0,0,0,0,0,0,7.26941,0.0543,6.68339,0,0,0.15397,0.30513,1.47126,0,0,17.33016,0,0.5495,7.57103,10.7881,1.10906,0,0,0,0.57534,1.5609,0,0,3.94445,0,0,0,6.39217,0,3.85676,0,2.28331,0,1.22455,3.26767,0.2929,0,0.64733,0,0.57316,0,0,0,0,0,0,0.07919,0,0,0,2.23974,0,0,0,0.61543,2.86369,0.21708,0,0,1.04304,0.78699,0.18067,0,0,0,0,0,8.95481,0,5.46781,0,0,0.02009,0,0,0,0,0,4.56987,18.58059,12.56081,0,0,5.43785,1.72789,0.09617,0,0,0,0,9.99679,1.14754,0,0,3.5914,12.14221,0,0,0.09264,0,0,0,0,0,0,0,0.00184,0.1694,0.98674,3.94821,0,12.51773,0,3.03923,0,1.46469,1.47312,2.7881,1.10717,0,0,8.79923,0,0,0,1.03413,5.55957,4.92715,3.14545,0.98724,0,0.45609,5.62961,0,0
"Bacteroides ovatus",2.90385,0,0.02141,0.85801,0.19687,2.44467,0.60326,0.02254,0.4924,1.40281,0.17521,0.13911,0.6697,0.72144,0.83969,0,0.05868,0,0.08785,10.26784,0.61724,0.09521,0.16552,0.50091,1.36752,0.63386,0.23734,0.05285,0.30362,0.99182,5.93831,6.86382,0.67677,0.65038,0.57776,0.98491,0.0011,0.11222,0.05427,11.65245,0.02599,0,8.26747,0.06297,2.17622,0.57941,0.10218,3.65665,0,0.21298,0.47821,1.12601,6.10314,0.6883,0.05455,0,0.71149,3.83599,3.18379,0.13576,1.95374,0.27812,12.29963,0.3676,0.04517,0.03197,0.1078,1.49444,1.00959,45.79135,16.36682,0.18787,0.38802,0.00704,0.50317,1.7716,10.25047,0.64073,0.23759,0,0.52403,1.57545,0.652,0.72519,0.46264,0.15988,0,0.85219,0,0.06748,0.42782,0.06257,0,0.09676,0.18645,0.31802,0.12624,0,0.42242,0.22939,0.4246,0.50071,1.02419,0.0771,0.59546,0.11738,0.06165,2.34287,1.24138,0.08691,0.98209,0.31687,1.16459,0.28609,0.0665,0,2.81403,0,4.39977,5.81796,2.41646,4.82535,1.6242,0.34273,0.1498,0.09534,0,0.47368,0.0808,0.64225,0.60368,2.26528,0.36865,0.00348,0,0.21767,0.30882,2.72452,2.52112,0.17275,0.15916,5.20325,0.02484,0.83725,0.2708,0,4.00371,0.90925,0.08159,0.83398,4.97229,2.65333,0,0.45457,0.2149,2.45461,0.41206,1.25839,0.23753,3.62248,0.94421,7.70654,0.52832,0,0,1.05469,0,2.65149,0,0.09176,0.0276,0,0,0.03766,0.1952,0.61892,0,3.3008,2.56243,0.04856,0,9.41436,0.43711,0.01733,0.14985,0.48602,3.10033,0.37371,0.89454,0.25945,1.32398,0,7.09587,3.49133,0.44984,1.86376,4.86179,2.99405,0.16844,1.01633,8.34469,0,0,5.35026,0.01127,9.48616,0,0.15013,0.5903,1.56239,0.47849,0.16607,1.23347,2.0735,0,0.06449,0,0.50102,0,0,0,0,0,0,1.30419,1.80931,6.35818,2.17996,0.4481,0.41764,0.59371,0,0.17253,0.0883,0,0.14456,0,0,2.40706,0.07075,8.02313,0.02458,0,2.08126,3.86262,0.07331,0.12942,0.0227,2.05825,0.3097,0,0.1987,0.04077,0.01021,0.58432,1.47397,1.02577,1.07349
"Parabacteroides distasonis",1.67792,0,2.35848,1.43042,1.3922,1.41826,5.45724,2.33185,0.47409,1.552,1.05082,2.18566,4.33746,0.10767,3.0224,2.20321,4.04563,0,2.81478,0,0,5.14837,0.98029,1.92085,1.32368,0.8693,0.56102,7.4727,1.42636,0,6.21385,0,2.13851,0.91428,28.25153,4.4137,0.95861,0.94924,0.33007,5.73187,1.15996,0,0.1764,1.17726,0.81513,3.13075,3.11216,3.67175,1.30194,5.05852,0.60929,0.47324,0.56719,17.44064,0.92648,6.06503,2.44048,1.3771,0.00012,11.96158,3.73832,7.57225,1.75287,0.84706,3.96227,0.13172,0.52426,0.64886,15.16567,0,0,2.66738,2.13114,0.09017,5.40257,4.77152,10.64504,0.68075,1.6358,0,3.37063,9.46064,4.7306,2.1179,2.19489,0.62338,1.93669,0.4313,3.1124,3.41262,0.81342,0.55342,0.04185,0.70304,3.21062,1.27628,0.66161,0.77435,0.34301,1.19382,1.09128,0,0,0.84528,0,1.41973,0.3293,0,0,0.15777,21.02824,0.65325,0.19142,0.40904,0.62762,1.83534,5.38205,0.76947,0,4.75817,13.99455,0.62746,3.45161,0.20582,0.98671,1.08379,4.98008,1.94714,4.15788,2.83172,4.72247,1.19608,5.42041,0.85256,0.36052,6.97251,8.12969,4.36779,1.47007,2.69857,2.64785,6.53505,0.05886,3.46019,0,0,5.23921,3.61176,1.9333,1.28411,0.28016,6.6327,6.27688,0.77697,1.16261,2.14223,1.06278,2.02743,1.50913,0,0.53382,0,1.62738,0,0,2.02802,0.7805,1.15263,8.09203,0.63917,1.00685,10.34921,0.22078,0.33153,1.47074,2.16991,0,6.62109,4.46797,0.19064,0,0,0.54486,1.67797,0,1.24045,6.03549,0.57471,0.75041,6.4299,3.29329,15.37097,0.93486,18.71618,19.63507,0.4107,1.614,0,0,0.33763,2.65162,0,0.69735,0.60356,2.92991,3.61556,2.10751,4.51141,9.98701,0,1.43053,0.47984,0.83999,3.11615,0,2.80153,6.85196,1.30965,1.82805,4.63854,19.79594,0.87947,0,4.89313,2.36767,3.23697,0,0.83843,0.83886,0.11372,6.01169,8.1438,1.4012,2.947,0.90857,0.49936,0,4.5823,3.37868,0.61795,0,4.41801,12.4777,12.31655,4.57985,10.14788,0.23395,0.19104,2.2061,0.57277,0,1.1996,0.17725,5.79586,3.30799,1.43798,0.27931,2.57883
"[Ruminococcus] gnavus",8.43141,0,0,0.14615,0.06116,0.03968,0.37739,0,0.41179,0.03231,0,0.02266,0.48077,3.07863,2.85542,3.61875,0.77375,4.67398,5.33994,0.01254,3.84323,0.12352,0.03904,7.0824,0.33283,0.27745,0.48277,0.53565,3.11585,10.57632,10.86339,20.74728,3.38166,0.23977,1.88741,8.04042,1.48201,14.22575,0.05596,7.43298,0.01677,0,3.33264,0.22968,0,0,6.40437,0.56496,0.14516,0,0.52145,2.68507,0.25121,7.08713,0.25855,1.07462,0.54327,0.31118,2.04526,0,0.17746,0.21729,0.2844,0,0.02807,1.61522,0.36956,0,0,2.25243,1.8468,0,0,0.6808,0.33255,0.03541,1.68582,0.00763,0.03765,1.093,0.05078,4.49138,1.89777,0.73767,1.79774,0.17697,0.60885,0,0.08327,0,0.3727,0,0,0.1441,0.858,0.84796,0.01267,0,0.03,0,0,9.11313,2.71368,0,9.32614,1.70854,2.37411,0.8753,1.69054,0,6.69515,0.55717,15.13909,0.14206,0,0,0.53305,0.05005,2.34062,0.4364,2.35202,0.03495,5.61275,0,0,0.0023,0.55249,0,1.42373,0,0.53851,0.33289,2.38142,0.00772,0.19876,0.00562,0,0.04472,0.66228,0.10601,4.74994,0.18336,1.92811,0.22753,0.03108,2.51699,0,0.28258,0.0023,0.74266,0.40819,0.60902,13.02739,0.54663,0.96552,0.04518,1.53823,0.03437,0,9.83765,0.00635,3.31069,0.31044,1.7624,1.78805,0.00395,0,3.37427,3.76589,2.34022,0.31197,2.60646,0.00156,0,0.79464,5.13617,0.35544,0.39732,0.04354,0,0.18414,0.32688,0.01864,0,0.59106,0.56317,0.06091,0.41093,2.24219,17.9649,0.02236,0.95595,0.5741,5.34795,0.02491,0.05089,0,0,18.11898,0,2.54346,0.33566,0,0,3.65224,0.31637,1.39714,0.00074,0.04451,20.80486,0.40006,3.29335,0.13999,2.51582,0.42472,0.03338,0.07125,0.07253,0.09709,0.84426,0,2.62354,2.19074,1.68884,0.2029,0.27031,5.6489,0.00319,1.46062,88.24081,0,0.62868,0,0.14845,0,0.01873,0.84925,1.75629,0.52305,0,1.88844,2.32236,1.01627,0.71744,0.47593,0.01532,0.00252,0.40332,1.55967,0,0,0,0.01404,0.01766,5.92034,0,21.90274,0
"Phascolarctobacterium faecium",0.51785,0,0,0.53284,0,1.39199,1.47485,0,0,0,0.00716,0,0,0,1.3829,0,1.73345,0,0,0,0.95614,0,0,0,0,0,0,0,0.00174,0,0.16655,0,0,0,0.01498,0,0.49569,0,0,0.56168,0,0,0,0,0.0529,0.03555,1.14528,0,0.03553,0.17047,0.32681,0,0,0.00979,0.51288,0,0,1.34507,0.58237,0,1.11883,0.02869,1.08641,0,0,0,0,0,0.00191,0,0,0,0,0,0,0.0759,0.77721,0,0,0,0,0,0,0.24515,0,0,0.34953,0.09825,0,0,0,0,0,0.05562,0.62236,0,0,0.08791,0,0,0.22628,0.60982,0,0,0.02707,0.04235,0,0.68208,0,0,0,0,0,0,0,0,0,0.88286,0,0,0,1.23566,0.76522,0,0.44304,0.11067,0.75322,0,0.50242,0.28177,0,1.78418,0.83976,0,0,0,0,0,0,0,0.10069,0,0.05153,0.16449,0,0.76366,0,0,0,1.06237,0,0,0,0.80771,0.0032,0,0,0.07614,0,0.83098,0.05841,0.12794,0.03336,0,0,1.45411,0,0.78314,0,0,0.31004,0,0,0,0,0.00116,1.15554,1.48891,0,0,0,0,0.0151,0,0,0.37619,0,0,0.0012,0,0,0,0.75814,0,0,0,0,0,0,1.18243,5.24139,0,0,0.45937,0.68022,0,0,0,0,0,0.00268,0,0,0.53682,0,0,0,0,0.33137,0,0,0.53733,0.00991,0.00098,0,0,0.66759,0,0,0.01613,0,0,0,0,0,0,0,0,0.11293,0,0,1.36874,1.25164,0,0.70076,0,0,0,0,0,0,0.62432,0,0.03068,1.01178,0.19086,0.40159,0
"Bacteroides uniformis",3.68582,1.58238,5.07088,3.08861,2.63044,4.84077,1.99748,3.03084,2.694,0.01417,0.38936,19.90108,1.55753,1.56601,1.3265,2.31047,14.72682,5.27376,0.6254,0.96972,3.7294,2.22712,9.07001,0.80793,1.18508,1.6389,9.5937,0.63364,0.40009,1.74195,0,7.80583,5.08014,0.9165,5.26657,3.29386,0.01172,1.49833,0.38906,1.69711,7.71158,19.687,0.53726,1.83163,5.13304,16.28871,7.64331,3.01877,6.98798,14.23268,0.5993,3.33664,16.6144,5.49243,0.63877,9.64271,4.31703,10.92035,7.77463,0.4521,7.11814,2.85604,19.02315,1.06546,1.58722,0.10596,0.25045,4.34767,11.09282,0,0,2.57577,0.26218,0.08988,13.6622,16.8388,13.17004,1.65359,6.94195,29.65315,21.62558,14.56648,12.49321,3.74164,12.66872,0.49211,2.13193,3.10761,1.13027,5.93561,5.92077,0.4629,0.45543,0.6418,0.67898,5.91527,16.54323,3.34875,5.74863,19.71325,13.94203,5.4377,7.24535,0.33794,4.79366,0.38111,0.88685,7.62545,2.65716,0.28932,6.62578,0.33828,0,4.33114,0.38593,2.16272,2.94116,11.43928,21.84569,7.48206,0,8.2516,5.37669,4.50524,0.86244,12.92842,0.76978,2.27584,1.56878,2.94486,9.0575,5.99489,0,6.10851,0.05266,8.63618,11.19081,2.04711,7.19007,13.46061,0.4698,43.47701,0.03552,10.58357,5.60831,14.07706,4.44956,22.52713,16.89496,3.23295,3.19289,9.99931,0,6.24425,9.25004,3.60999,6.94449,10.57507,2.99367,2.99883,9.57286,3.68881,5.64802,0,0.26737,2.00742,1.42736,3.44559,0,0.18931,0,3.25309,0.28631,0.71014,6.8166,1.00889,10.27799,1.93939,5.24443,0.74792,0,10.66367,0.66568,1.48534,11.74647,3.85618,8.63158,0.2122,7.5102,2.7403,7.19011,3.58082,11.35082,2.99317,8.66099,2.57586,0,10.13915,0,6.09936,7.40626,0,0.61382,3.31412,4.80955,10.04378,4.51665,0.94349,11.64818,2.998,0.38871,0.27491,1.7148,9.67459,16.89305,7.71727,2.96795,0.77984,8.23384,13.53759,0,3.28166,5.06454,27.36783,15.13437,13.0359,8.68884,2.80257,9.32546,0.97725,0.38287,0,5.29807,1.10782,22.81902,1.53998,0,3.97499,8.07513,5.84901,8.47451,2.28494,8.36007,4.10021,4.80927,26.02137,0.57099,0.5305,1.61601,1.89594,0,2.43231,0.73898,1.22619,11.54487,24.08085,0.27565,25.52527
"Bifidobacterium longum",0.04889,0.38312,0.33198,0.81745,0.09563,0.2811,0.49509,0,0.60492,0,0.03378,1.30734,1.62078,1.14981,0.72996,0.15373,0.15808,0.10882,3.31756,0,1.16567,0.12805,0,4.80555,1.43171,0.89611,0.33775,0.17953,1.3012,0.12044,0.36095,1.4102,2.41074,0.17184,0.41061,0.66588,0.64581,0.52417,0.07869,0,0.16451,0,0.00972,1.27244,2.48591,0.02369,3.06882,1.40039,0.18765,0,0.00844,0.62723,0,0.85888,0,0.56139,2.71388,0.84856,0.70671,0.10758,0.77178,0,1.60769,0,1.48928,0.09002,0,0.33862,0.02453,0.13092,0,0.71376,0.00321,0,1.11062,0.21401,0.00267,0,0.78638,8.94189,0,0.18282,0.46775,0.11001,0,0.0138,1.37026,0.11737,0.1709,0.26877,0.02122,0.01316,0.01637,0.8882,0.05527,1.99871,0.38122,0.01918,0,0.40168,7.57962,0,0,0.12124,2.71749,0.33682,2.04197,0.41078,0.43894,0.24578,0,0.78197,0,0.18454,0.12132,1.97153,0,1.33078,0,0,0,0.04642,0,4.97292,0.10324,0.11422,0.28846,0.06253,0,0.68604,0,0,2.2848,0.70227,0,0,1.12594,0.54924,0.08826,0.03054,0.01621,2.1832,0,0.56451,0,0.02302,0.01336,0,0.04876,0.11491,0.70586,0.04174,0,0.96617,2.06979,0.13038,0.42041,0.74159,3.17431,0.0541,1.00555,8.2305,0,37.44766,0.63448,0,0.24105,0,0.25651,0,0,0,0,0,0.00381,0.61465,0.96557,0.39049,0.00442,0.01889,0.27902,0,0.02589,0.06407,0.04468,0.6379,0,0,0.38371,0.22702,0.2962,1.39284,0.39702,0,0.17547,1.6618,1.98812,2.81676,0.02072,0,0.88575,0,1.8925,0.06059,1.83581,0.00828,0.27609,0.0247,0.08749,0,0.06299,0.03859,0,0,0,0.06804,0.04298,1.61827,0.10025,2.17043,0,0.54228,9.49814,0.14981,1.1621,4.796,6.36865,0,0.06051,0.00294,0.17358,0.19908,0.59021,0.35554,0,0,1.10065,0,0,0,0.46922,0,0,0.20299,10.88722,0.05538,3.96648,0.00143,0.00718,0.02381,0.20647,0.08897,1.10968,1.36727,13.03642,0.40791,0.27697,9.54657
