"","CCMD11006829ST-21-0","CCMD12232071ST-21-0","CCMD13071240ST-21-0","CCMD13934959ST-21-0","CCMD14479708ST-21-0","CCMD18872694ST-21-0","CCMD19497912ST-21-0","CCMD23101338ST-21-0","CCMD25511638ST-21-0","CCMD25963797ST-21-0","CCMD26709089ST-21-0","CCMD26925580ST-21-0","CCMD34381688ST-21-0","CCMD35802077ST-21-0","CCMD40701343ST-21-0","CCMD42428553ST-21-0","CCMD45988061ST-21-0","CCMD46222674ST-21-0","CCMD46947453ST-21-0","CCMD48236717ST-21-0","CCMD50071957ST-21-0","CCMD51864103ST-21-0","CCMD60079086ST-21-0","CCMD63399960ST-21-0","CCMD64503764ST-21-0","CCMD64776337ST-21-0","CCMD72895164ST-21-0","CCMD74930188ST-21-0","CCMD79987997ST-21-0","CCMD82866709ST-21-0","CCMD86114146ST-21-0","CCMD86707194ST-21-0","CCMD87156761ST-21-0","CCMD88272491ST-21-0","CCMD90311071ST-21-0","CCMD93344354ST-21-0","CCMD95433940ST-21-0","CCMD96553385ST-21-0","CCMD19168690ST-11-0","CCMD21593359ST-11-0","CCMD21703880ST-11-0","CCMD27463710ST-11-0","CCMD35633353ST-11-0","CCMD42956136ST-11-0","CCMD49461418ST-11-0","CCMD52117727ST-11-0","CCMD52145360ST-11-0","CCMD59583015ST-11-0","CCMD65222621ST-11-0","CCMD65406197ST-11-0","CCMD71242853ST-11-0","CCMD71915439ST-11-0","CCMD72690923ST-11-0","CCMD76222476ST-11-0","CCMD79349503ST-11-0","CCMD89306485ST-11-0","CCMD92404903ST-11-0","CCMD95431029ST-11-0","CCMD95676152ST-11-0","CCMD98531134ST-11-0"
"Phocaeicola plebeius",0,0,0,0,0,0.14581,0,0,0,0,0,0.02337,0,0,0,0,0,0,0,0.00635,0,0,12.46345,7.42323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41404,0,0,0,0,0,0,0,0,0,0,1.92086,0.01068,0,0,0
"Faecalibacterium prausnitzii",0.28804,2.45488,2.56971,4.57007,7.09485,7.12944,7.85554,7.33462,0.55123,0.7654,4.52305,10.46639,30.85221,10.14178,0.01167,2.67217,6.88466,11.14917,13.29213,6.72122,8.88201,6.24772,11.87129,5.30671,0.79825,5.5004,5.78548,8.8283,0.00603,7.57314,7.88274,6.98984,4.67694,1.04865,6.87241,12.78392,12.355,7.05806,8.78976,1.90967,1.16085,3.34821,7.98634,0.08991,18.1502,3.83324,9.53533,17.94576,12.66013,0.36597,11.66937,1.70217,4.01922,28.58245,11.4493,24.10645,0.04851,22.68429,9.23451,3.69709
"Bacteroides uniformis",18.399,17.17752,6.18395,8.85834,3.22173,4.85547,0.14164,0.63745,9.2512,5.70676,4.30366,7.61931,1.06091,12.07495,7.67858,9.30898,2.24174,1.15353,7.87334,0.27372,9.08997,9e-04,5.02304,2.1192,10.65796,9.13486,13.46144,0.67894,23.99586,4.20308,1.71058,8.70597,1.12414,1.75349,9.09205,6.07658,6.02437,24.43387,23.16105,6.6224,0.48084,7.74898,0.63571,0.00382,3.96771,19.85932,7.80756,1.49978,1.45458,3.12162,8.65621,0,0.46144,1.10941,8.31496,1.01507,2.36321,9.49481,5.14073,13.3049
"Alistipes putredinis",5.26533,0.06061,12.46826,3.1476,2.20771,2.5784,0.0357,3.37774,4.66964,9.13386,0,5.6925,0.10176,3.54346,0.01483,3.48408,3.35807,0.09621,3.04898,0.58568,8.59213,3.75544,6.70526,0.91714,0.05111,2.52701,4.37739,0.59398,0,3.59603,4.81018,0,0.01069,5.18419,0.03035,4.41147,3.48792,0.03265,0,0.2098,5.17494,5.82506,1.45415,0,0,5.85047,0.04806,0.01105,13.44594,5.30203,5.99075,0.02359,0.01619,0.05357,2.26866,0.08029,0,0.45703,15.39452,9.19844
"Phocaeicola vulgatus",5.38122,0.00437,5.16802,10.42223,6.01166,9.43607,5.05337,2.54118,3.18965,4.65501,0.00263,1.7399,0.72496,4.3282,22.66117,2.09928,14.81916,1.88416,6.95748,0.8795,2.20392,4.08674,0.00096,12.60271,9.52825,3.28659,15.52455,26.8488,22.25876,7.23881,4.68,17.25766,0.02819,32.54311,12.46274,0,5.51396,21.23952,15.80326,3.71769,6.04113,5.22201,3.59328,0.87668,2.95641,19.61184,4.20312,8.32804,0.02075,2.82204,0,0.00044,0.00569,2.19918,0,0.22782,4.90758,1.62813,0,1.64552
"Roseburia intestinalis",0.03172,0,0.19607,0.10352,2.00871,0.38747,0,1.23421,0,0.47537,12.48549,0.00654,0,0.00443,15.10502,0.17489,0.04805,0.29096,0.05101,0.17298,3.82323,0.00099,0,2.3213,0.1528,0.08855,6e-04,0.75751,0.65599,0.44549,0.20814,0.23808,0.05465,0,4.27325,0,11.79767,0.007,0,0.01683,0,0.25124,0,0,0.01545,0.1598,0,4.58526,0.06861,0,0,0.132,0.01261,0.52375,2.29406,2.09231,0,0.06633,0,0.0584
"Roseburia inulinivorans",0.79898,0.50869,1.15939,0.61091,1.41202,2.71502,1.16507,0.22009,0.12397,0.57753,0.79106,0.43327,1.04128,0.01286,0.00099,0,0.31101,1.82725,1.81365,0.83868,1.34784,8.45033,0,3.29495,0.58467,0.54035,4.03863,6.25182,0.25155,0.42542,1.94403,0.9776,1.12303,0.00164,2.0594,1.88768,3.24888,0.00469,0,0.2949,0,0.41715,0.01429,0.44902,4.60498,1.8575,0.70629,2.50276,0.1344,0.18748,0.75072,0.12883,0.01472,2.75476,0.66566,0.5153,0.0081,0.13573,0.10886,0.0151
"Fusicatenibacter saccharivorans",0.53782,1.52164,3.83547,0.99155,0,0.42454,0,0.68955,1.5857,2.23705,1.62999,1.45696,0.97307,10.64596,0.00393,10.02853,0.95996,1.45025,3.32143,0.25264,1.12926,6.70289,0,1.41224,0.02294,0.78902,1.53088,1.76724,1.20304,0.88645,2.43151,1.99246,0.99331,0.00464,2.80727,1.24353,0.5716,0.5019,0.65022,0.22481,1.88187,1.71904,9.45694,0.81879,0.80301,1.41902,1.78655,0.98302,2.96447,2.18729,1.11252,0.04362,0.46757,0.45358,1.96634,0.63369,0.27825,1.17665,0.77515,0.43861
"Collinsella aerofaciens",0.69044,0.5508,1.01096,0.54335,0.95029,0.49801,0.89339,0.85666,1.3679,1.38599,0,0.08315,0.8783,1.72881,0.00659,3.46605,1.72074,4.24804,1.40827,2.34578,0.24812,0,0.04421,0.28006,2.51957,0.02178,0.24683,0.48282,0,0.46779,1.78043,1.03884,0.22233,0.34532,1.77728,0.34659,0.80628,0.01249,0,4.41679,4.58038,2.51258,0.58573,3.44567,5.87581,0,1.08919,6.0509,1.82279,4.28313,0,0.96983,1.89422,2.42031,0.55313,8.04877,4.51555,4.19513,6.35367,0.02368
"[Eubacterium] rectale",0.12838,0.24576,3.24244,12.90128,0.65599,7.22393,0.3775,5.76399,0.50921,9.20887,25.59163,0.09887,7.82023,0.01301,0.01098,0.53494,6.77736,0.03119,6.33886,6.70328,0.01884,24.40893,0,3.97432,0.00214,0.09981,7.71,3.01165,3.36397,4.05797,0.29553,2.59192,2.0103,0.03419,4.17082,13.55851,1.56683,0.06677,0,0.60755,0,3.42268,0.88297,0,0.05799,6.18564,3.03548,2.02878,0.15917,0.18334,9.83538,1.06309,0.27784,1.74756,0,2.68379,0.37751,6.49381,0.21665,3.74875
