"","SKST006_6_G102964","SKST006_7_G102965","SKST006_4_G102962","SKST006_5_G102963","SKST006_2_G102960","SKST006_3_G102961","SKST006_1_G102959","SKST006_9_G103014","SKST027_3_G102945","SKST027_4_G102958","SKST027_6_G102955","SKST027_9_G102947","SKST027_11_G102996","SKST027_12_G103011","SKST027_1_G102984","SKST027_2_G102985","SKST032_1_G102943","SKST032_2_G102946","SKST014_3_G102978","SKST014_2_G102977","SKST014_5_G102980","SKST014_4_G102979","SKST014_7_G102940","SKST014_6_G102951","SKST014_1_G102976","SKST032_4_G103008","SKST032_3_G102989","SKST032_5_G103024","SKST027_10_G102936","SKST025_9_G103021","SKST025_2_G102986","SKST025_1_G102983","SKST025_6_G103010","SKST025_5_G103006","SKST025_4_G102939","SKST025_3_G102942","p8883_mo6","p8646_mo8","p8646_mo9","p8646_mo6","p8646_mo7","p8649_mo11","p8649_mo12","p8649_mo1","p8649_mo10","p8649_mo2","p8649_mo3","p8582_mo5","p8582_mo7","p8582_mo6","p8646_mo3","p8646_mo2","p8646_mo12","p8646_mo11","p8646_mo10","p8646_mo1","p8600_mo9","p8600_mo8","p8646_mo5","p8646_mo4","p8808_mo7","p8808_mo6","p8808_mo9","p8808_mo8","p8808_mo12","p8808_mo11","p8883_mo2","p8808_mo4","p8816_mo10","p8816_mo1","p8883_mo3","p8600_mo1","p8600_mo10","p8600_mo11","p8600_mo12","p8600_mo2","p8600_mo3","p8600_mo4","p8600_mo5","p8600_mo6","p8600_mo7","p8775_mo7","p8775_mo8","p8775_mo5","p8775_mo6","p8775_mo3","p8775_mo4","p8775_mo12","p8775_mo2","p8775_mo9","p8808_mo10","p8816_mo8","p8816_mo9","p8816_mo4","p8816_mo5","p8816_mo6","p8816_mo7","p8816_mo11","p8816_mo12","p8816_mo2","p8816_mo3","p8585_mo9","p8585_mo8","p8585_mo4","p8585_mo3","p8585_mo7","p8585_mo6","p8582_mo9","p8582_mo8","p8585_mo2","p8585_mo1","p8883_mo12","p8883_mo11","p8855_mo3","p8855_mo12","p8855_mo11","p8855_mo10","p8883_mo10","p8855_mo9","p8855_mo8","p8855_mo4","p8808_mo5","p8883_mo9","p9061_mo1","p8883_mo7","p8883_mo8","p8883_mo4","p8582_mo11","p8582_mo10","p8582_mo1","p9061_mo2","p9061_mo3","p8775_mo11","p8775_mo10","p8748_mo6","p8748_mo5","p8748_mo4","p8748_mo12","p8775_mo1","p8748_mo9","p8748_mo8","p8748_mo7","p9193_mo1","p9061_mo8","p9193_mo4","p9193_mo2","p9061_mo5","p9061_mo4","p9061_mo7","p9061_mo6","p9193_mo6","p9193_mo5","p8712_mo6","p8712_mo7","p8712_mo8","p8712_mo9","p8712_mo2","p8712_mo3","p8712_mo4","p8712_mo5","p8748_mo10","p8748_mo11","p9193_mo7","p9216_mo1","p9216_mo2","p9216_mo3","p9216_mo4","p9216_mo5","p9216_mo6","p9216_mo7","p9216_mo8","p8649_mo5","p8649_mo4","p8649_mo7","p8649_mo6","p8649_mo9","p8649_mo8","p8712_mo10","p8712_mo1","p8712_mo12","p8712_mo11","p8582_mo4","p8582_mo3","p8582_mo2","p8582_mo12"
"Faecalibacterium prausnitzii",0,0,0,0.06931,0,0,0,0,6.65183,8.74454,0,0.2168,0,0,9.08217,9.55055,3.90278,0,0,0,0,0,1.05761,0,0,1.07718,5.87669,3.59325,0,0,2.05831,0.61985,0.53259,1.53217,0.9329,4.79434,7.3044,7.12145,8.76253,10.09754,7.25,0.40507,7.37776,12.06676,3.67765,10.01674,5.65624,11.40737,14.26474,11.34794,5.17034,1.99295,6.42357,8.66906,9.36007,3.7896,2.33139,0.01495,9.39011,13.19343,6.75138,14.94755,11.396,12.90932,0.01548,0.00307,5.41591,4.27486,8.12968,17.54907,2.25216,0,4.91564,3.99419,2.50898,0,0,0.00501,0.00795,0.45756,0,8.87847,10.99373,10.66682,7.85643,12.11472,16.3539,10.65864,9.06999,7.60501,14.54735,10.29014,15.63703,7.53482,9.80129,16.97127,10.88381,15.53731,10.18022,25.33838,10.99996,4.94194,5.36955,3.55773,0.01188,13.3405,5.50412,6.78615,2.68236,0.00581,0.00518,8.73494,1.28165,7.15785,0.35813,0.00307,0,6.7989,0,0.00505,0.00294,13.45324,7.34706,10.02109,5.10453,2.44048,5.75648,9.70043,5.75541,14.37366,13.70372,3.70223,12.54999,6.30782,16.92713,10.71271,8.8333,14.06482,8.63153,11.09874,10.07095,10.29804,9.08016,6.16704,9.59351,3.49327,7.07874,9.45293,6.92744,5.5071,7.71085,11.07195,11.23759,7.41901,10.58857,7.40622,18.64848,11.75215,9.65663,9.58501,9.15691,14.19823,7.66832,6.37603,65.33771,6.15454,6.16738,5.47789,12.35406,10.24224,10.52583,0.02966,4.02729,0.60816,5.76757,4.65769,0.18877,9.53912,12.42055,6.49685,10.37167,3.2451,10.14037,9.08308,14.41137
"Bacteroides uniformis",0,0,0,0,14.06375,30.26378,0.10496,0,1.03226,2.50061,0,0.03519,0.10417,0.01539,0.08058,6.433,11.07065,6.07719,0.02479,0,0,0,0.03621,0,0,28.19466,8.0796,22.38759,0,22.35553,3.36228,3.95505,0,2.36226,0.0015,0.15704,0,0.00223,0.00479,0.01683,0.01024,0.17636,0.30608,1.24836,3.59283,1.76944,1.40515,4.14836,4.16059,0.58951,0.00269,0.00289,6.88024,3.22173,2.89461,0.0012,25.27006,20.43657,0.01091,5.14874,0.00074,0,0,0,0.00509,0.00123,0.00037,0,11.05767,4.70428,0,1.98135,25.94014,29.98915,31.19162,5.14185,0.11089,30.54392,19.02865,6.08411,25.95379,19.46307,12.59142,19.80979,10.238,16.3052,14.29604,19.8077,26.49348,28.14735,0,17.4468,7.23272,17.05339,16.23191,17.57696,6.50292,6.8835,9.15797,3.34503,9.99036,2.4771,0,0,0.0027,0.00446,0,8.13336,13.05396,0,0.00267,0,0,0,0,0,0,0,0.00041,0.01626,0.00068,0,0.01895,0.85657,0,0,0,10.55756,9.87114,11.53933,0.71421,0.58342,18.55115,21.14599,2.50203,8.92203,29.31506,10.7246,12.12557,6.22557,8.09816,16.92802,17.44222,0.20879,34.98101,26.84723,0.2381,0.3178,0.65459,3.66398,24.3008,17.61151,9.33414,14.20144,11.93523,3.70091,4.09505,19.02121,6.72745,17.98283,7.77758,11.84513,23.287,8.26069,0,10.99034,7.52932,8.20845,8.5573,4.99051,6.09196,0.00194,0.59233,5.41693,1.61763,3.98979,5.78948,13.69393,5.00779,14.1838,8.11433,7.96714,3.78624,10.11165,6.17726
"Roseburia hominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62032,0,0,0.1778,0.02398,0,0,0,0,0,0,0,0,0.28935,1.68943,0.77067,1.7886,0.82236,0,0.03997,0,0.10246,0,0,0.61524,0.37004,0.18922,1.28035,0.1774,0.02468,0,0,0.1045,0,0,0.47174,0.45896,3.16216,2.3541,0.42034,0.57161,0,0,0,1.65896,0,0.20535,0,0,0,0,0,0,0,0,0,0,0,0.02655,0.26512,0.15967,0.16599,0.36628,0.41528,0.11219,0.14298,0.21661,2.50789,0,0,0,0,0,0,0,1.44457,0,0,0.07256,0.00816,0.00585,0.00132,0.05063,0.1837,1.42875,1.04253,0,0,0,0,0,0,0,0,0.22224,0,0,0,0.94557,0.99362,0.13799,0.01894,0.11688,2.95713,0.62694,0.14446,8.71742,0.03248,0.13687,3.38503,0,0.14524,0.05111,0.05385,0.02283,0,0.00518,0.04463,0.01128,1.96865,0.01036,0.26088,0.2576,0.00625,0.00271,0.02115,0.42774,0.59716,0.13142,0.74964,0.48243,0.2709,0.8267,0,0,0,0,0.00915,0.00747,0.83138,0.09696,0,0.63375,0,0,0,0,0,0,0,0.01259,0.00421,0.04075,0,0.0255,0.41203,0,0,3.79906,1.7619,4.66812,2.73666
"Alistipes putredinis",0,0,0,0,0,0,0,0,3.45114,5.29914,0,0,0.03289,0,0,0,0,0,0,0,0,0,0.05589,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64612,0,0,0.00978,0.00457,0.33856,5.5528,0.00628,8.6883,0.00517,0.01069,9.82344,11.11174,7.34373,0,0,0,0,0,0,0.00471,0.00348,0.00319,0,0,0,0,0,0,0,7.74292,0,0,0.00281,4.82072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00556,0,0,0,0,0,0,0,0,0,0.00223,0.00902,0,9.89518,0,0,0,0.00142,0,9.0567,8.29511,0,0,23.8371,3.97651,0,0,0,0,2.80053,0,0,0,0,2.45901,0,5.25212,5.30671,1.79724,12.73078,13.20545,7.80439,0,0,0,0,3.32199,3.70177,4.78715,4.89887,0.00654,3.64575,4.3204,6.86687,1.21027,0,3.90089,3.13235,0,0,0,0,3.58113,3.64767,0,0,0,0,0.00263,0.00398,0.02358,0,3.94422,4.0431,1.84822,3.30986,0,3.17964,3.34574,2.43707,4.72124,3.14159,4.48316,0,0.00701,0.00346,0.00383,8.1086,0.00186,0,0,0,0,23.98742,10.44896,9.82611,11.40318
"Phocaeicola dorei",0,0,0,0,0,0,0,0,0.00752,0,0,0,0,0,0,0,7.96296,11.4078,0,0,0,0,0,0,0,23.42227,14.82395,27.21456,0,10.66933,0.7646,6.87405,0,16.37213,0.01637,0.30402,0,0,0,0.0038,0.00381,8.32569,1.12203,8.24311,0.4436,2.7521,5.85642,2.5489,4.49403,0.89793,0,0,0.18123,0.17061,0.08915,0,0.0031,0.00343,0.00385,0,0,0,0,0,0.0118,0,0,0,0,0.00341,0,0,0,0,0,0,0,0.00117,0,0,0,14.32295,9.43777,13.94656,10.32486,15.09315,12.05964,14.11261,11.76399,21.42096,0,0,0,0.00103,0,0,0,0,0.00232,0.00585,0,0.00261,0,0,0,0.00281,0,14.1528,10.82035,0,0,0,0.00358,0,0,0,0,0,0,0,0,0,0.00261,8.58713,0,0,0,14.33451,12.8804,5.19086,5.26596,5.17631,19.3072,7.72043,0.61321,0.32171,0.64314,0.29548,6.17404,2.58895,1.02161,0.69527,13.41902,1.57816,13.9207,21.30068,2.47042,2.68995,4.16793,6.27592,8.98454,7.19313,0,0.00029,0,0,0.02269,0.00242,0.00347,0,1.47754,0.71424,10.78922,13.64569,0,8.34658,15.06591,10.30416,17.42728,26.61027,28.04812,0,8.82712,5.36483,2.01796,2.1245,4.98891,0.01374,0,0,0,11.9478,6.14971,6.13845,17.25269
"[Eubacterium] rectale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29871,0,18.81747,0.16952,15.47659,13.84342,0,0.03301,0.30965,0.09392,0,0,0,0,0,0,0,0,14.18492,6.15765,1.19621,7.55784,8.22606,0.00729,2.28187,4.71101,11.80733,3.41172,2.68406,4.21313,2.41236,4.64272,13.68226,33.02892,2.86847,4.6136,1.62729,7.51169,0.01409,0.01451,7.45245,4.77174,13.32253,5.7854,15.01197,9.47077,0.00143,0.00163,3.76936,25.32329,1.83654,1.654,5.33588,0.00157,0,0.00064,0,0,0,0,0,0.03429,0,0.02333,1.63511,1.25343,11.44934,1.94999,2.29989,1.69539,3.0692,0.0097,2.39983,0.45458,5.14139,0.10856,0.17356,0.21196,1.27208,3.04517,5.42646,0.22037,0.16547,3.71928,1.51107,1.29544,1.4771,2.24026,1.87749,2.13519,0.96615,1.82804,0.00196,1.83625,0.17405,0,0,0,0,2.98117,0.00044,0,0.0012,7.5953,23.37572,5.17457,3.57665,6.1543,4.54209,1.74067,1.67027,5.10823,1.79391,5.18585,0.92936,0.74784,0.00416,0.01144,0.01035,0.00859,0.81059,0.00817,0.00147,0.00678,10.53093,2.68503,2.69091,2.55525,8.82893,10.35207,5.34414,3.96592,6.24951,7.52736,0,0,0,0,12.13352,0.95615,1.04527,0,0.011,0,10.27827,0.01204,0,0,0.00274,0.00802,0.00486,0.00417,0.00315,0,16.90071,4.8307,3.75127,1.39497,0.01521,6.76368,4.98829,8.2465,13.29485,0.62944,1.63776,8.70374,1.29944
"Fusicatenibacter saccharivorans",0,0,0,0,0,0,0,0,0,0,0,0.0618,0,0,0,0,0,0,0,0,0,0,9.07393,2.29595,0,0.09278,0.04106,0.04714,0,0,0,0,0,0,0,0,0,8.2285,5.21143,4.37906,8.32471,0,2.1081,2.1545,0.29028,3.66104,2.95857,5.42886,4.5421,10.36889,28.95689,15.05283,8.13219,4.80845,5.95057,15.48731,0.62508,0.28918,8.75751,4.34755,12.60131,15.11094,8.7857,11.39448,0,0,0,5.69236,0,3.84034,0,1.68651,0.24974,0.40422,0,2.30008,0.648,0.79995,0.55253,1.59715,0.57792,3.23991,5.25327,2.6666,3.73412,2.96657,3.67891,2.41388,2.04103,3.56752,6.6605,0,0,0,0,0,0,0,0,0.00262,0,1.75939,1.58877,0,0.00559,1.21007,0.6192,0.83248,4.88064,0,0,0.27955,0.33295,0,0,0,0,1.58916,0,0,0,17.57327,0,0.47374,0,0,0,0.4362,0.68362,4.15048,0.4373,1.01694,3.06475,1.17117,9.05698,7.65468,1.26049,4.68303,1.11147,7.83433,6.87795,2.87696,2.17734,1.61645,1.12181,0.11009,1.98822,1.35762,1.13281,1.37268,1.66384,0.48966,0,0,0,0.03385,0,0.00162,0.00228,0,7.28528,7.89536,0.6753,1.42332,0,1.4752,2.35298,2.36319,1.41166,1.05147,2.99311,0.00249,2.16595,0.07976,2.82492,0.35921,0.44646,1.50612,4.31442,2.03752,1.34264,0.30346,6.19586,6.07513,0.65183
"[Ruminococcus] gnavus",0,0,0,0,0,0,0,0,0,0,0,0,17.0485,0,0.19183,1.61385,5.18844,0.00658,0.70745,0.21382,3.45205,0,0.60149,0.14614,0,0,0,0,19.32029,0.03801,11.00885,1.73954,7.82389,0.40294,9.19005,5.77339,0,0.19167,0.2233,0.26572,0.69815,2.31035,0.13535,0.21718,0.04147,0.02862,0.19891,2.52309,1.52965,4.09773,0.60432,1.97912,0.49013,0.35605,0.69695,1.32158,1.34962,1.05968,0.38129,0.84396,2.98287,9.835,2.99696,2.01718,8.23222,27.61978,0,4.05573,0,0.01097,0.03889,6.93737,0.38339,0.52893,0.53771,5.94255,12.95503,0.63616,2.21999,4.06648,0.31894,0.00533,0,0,0,0.00447,0,0,0.01762,0,5.19311,0,0,0,0,0,0,0,0,0.01493,0,0,0.19765,6.67048,0.84785,0.16963,0.20539,0.85763,1.73193,0.87315,7.38634,0,0.02619,0,5.72626,5.44531,4.00617,0,22.12632,0.82004,17.79734,4.5617,0,0,0.00406,0.01743,0,1.04452,0.82788,3.02923,0.00455,0.00148,0,0.00063,0,0.01294,0,4e-04,2.26261,0,0.01244,0,0.02414,0.00026,0.20803,0.1799,0,0,0,0,0.23519,0.17225,0.31232,0.10428,0.10346,0.24482,0.69183,0.31047,0.94172,0.66104,0,0,0,0.22441,0,0.06041,0.49092,2.03703,1.76458,0.52637,1.11692,0.03719,0.16397,0.03519,0.07212,0.06629,0.48896,0.12004,0.80472,0.17039,0.01985,1.15707,3.97803,2.66804,1.12844
"Dorea longicatena",0,0,0,0,0,0,0,0,0,0,0,0.01953,0,0,0,0,2.39791,0.10051,0,0,0,0,0,0,0,0.00705,0.49226,0.01142,0,0,0,0,0,0,0,0,0,0,0,1.11606,0.00085,0,1.38219,1.58657,0.65007,1.55926,2.03503,3.48699,1.65324,3.84298,2.94832,3.833,0,0,0,1.93864,0.00127,0.00128,1.81586,1.25741,3.54106,3.88591,4.48042,3.30694,0,0,0,3.15496,1.40037,2.60755,0,0,0,0,0,0,0,0,0,0.01297,0,0.77964,1.57014,1.06774,1.18213,1.37022,2.16341,0.73545,0.8081,1.16625,1.17081,1.65812,1.74352,2.10013,1.87028,3.89252,2.20393,1.22511,1.77806,1.19344,1.24545,2.36549,3.01761,11.22151,1.97263,1.28791,1.032,0.89362,2.0556,3.24994,5.44228,0.1332,0.37498,0,0,0,0,0,0,0,0,0.93309,0,1.08946,0,0,0,0.79766,0.6713,2.74467,1.12957,1.23289,2.14239,1.00502,0.65761,1.33955,0.71048,0.77075,2.28298,1.28053,0.94029,0.89639,0.94177,0.91753,0.33477,0.00783,1.49706,1.40922,1.51344,1.06383,0.54785,0.56366,0,0,0,0,1.94113,0.74581,4.47764,1.05787,0.89841,0.63199,1.77797,2.8391,0,2.06817,5.38221,3.92772,2.03748,3.07829,1.39327,0,0.77603,0.84425,0.8281,0.54789,1.10103,0,1.26405,0,0,0.7065,2.33717,2.34254,0.83301
"Agathobaculum butyriciproducens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06238,0.64121,0.48788,0.95395,0.61953,0,0.36681,1.18639,0.16132,0.07477,0.45738,1.3084,1.71316,3.20802,0.72843,1.20151,0.52946,1.03024,0.88227,1.03447,0,0,1.07568,0.47957,0,0,0,0,0,0,0,0,0.40388,0.33277,0,0,0,0,0,0,0,0,0,0,0,0.07926,0.19172,0.16632,0.1454,0.16023,0.13253,0.33544,0.20607,0.39194,0,0.57035,0.20257,0.58239,0.62578,0.59944,0.81871,0.83463,0.62392,0.97158,0.91049,0.75392,0.30108,0,0,0,0,1.46387,1.05213,0,0,0.28816,0,0,0,0,0,0.13035,0,0,0,0,0.16904,0.0296,0.37166,0.05599,0,1.0484,0.538,2.67569,0,0.0816,0.11749,0.14062,0.26457,0.25377,0.05273,0.11107,0.41865,0.06348,0.22082,0,0.80716,0.05628,0.19325,0.09847,0.06511,0.062,0.10424,0.06279,0.37387,0.17694,0,0,0,0,0.56075,0.79313,0.8097,0,0.1572,0.03429,0.1802,0.60733,0,0.72171,0.04497,0.32733,0.28035,0.37767,0.6187,0,0.12907,0.00128,0.04534,0.19016,0.00902,0.96222,0.44708,0.96078,0.60142,0.07869,1.76368,1.95842,1.24705
