"","CCIS02379307ST-4-0","CCIS06260551ST-3-0","CCIS11015875ST-4-0","CCIS12370844ST-4-0","CCIS12656533ST-4-0","CCIS14449628ST-4-0","CCIS15704761ST-4-0","CCIS17669415ST-4-0","CCIS21278152ST-4-0","CCIS22416007ST-4-0","CCIS22958137ST-20-0","CCIS24254057ST-4-0","CCIS33816588ST-4-0","CCIS34055159ST-4-0","CCIS35100175ST-4-0","CCIS38765456ST-20-0","CCIS40244499ST-3-0","CCIS41222843ST-4-0","CCIS41288781ST-4-0","CCIS41548810ST-4-0","CCIS44757994ST-4-0","CCIS46047672ST-4-0","CCIS46467422ST-4-0","CCIS47284573ST-4-0","CCIS48725289ST-4-0","CCIS50148151ST-4-0","CCIS52370277ST-4-0","CCIS53043478ST-4-0","CCIS53355328ST-4-0","CCIS55230578ST-4-0","CCIS58234805ST-4-0","CCIS59132091ST-4-0","CCIS61287323ST-4-0","CCIS62605362ST-3-0","CCIS62794166ST-4-0","CCIS65479369ST-4-0","CCIS71301801ST-4-0","CCIS72607085ST-4-0","CCIS76845094ST-20-0","CCIS77252613ST-4-0","CCIS78318719ST-4-0","CCIS81887263ST-4-0","CCIS82146115ST-4-0","CCIS83870198ST-4-0","CCIS84543192ST-4-0","CCIS85214191ST-3-0","CCIS87116798ST-4-0","CCIS87167916ST-4-0","CCIS87252800ST-4-0","CCIS87605453ST-4-0","CCIS91228662ST-4-0","CCIS98512455ST-4-0","CCIS98832363ST-4-0"
"Bifidobacterium longum",0,0,5.20916,0,0.65826,0.00534,0,1.35406,0.27738,0.82315,0,0.01405,0.52678,0.08189,0.02069,0.11037,0,0.00902,6.17039,0.43821,6.52297,0,1.60889,2.40438,0.0786,0,0.68364,0.99597,2.77651,0.11105,0.02083,2.07669,0.01133,0.06156,0,0.01888,0.14738,0.60031,0,0.03269,0.39831,0,1.21402,1.67359,0.19261,0,0,0,0.36692,0.00262,0,0,2.33775
"Alistipes putredinis",2.60193,0.40822,3.14582,0,0.03367,3.40223,0,0.32354,0.12583,1.81567,0,5.48396,0.84745,0.51205,1.37152,2.62595,0.00095,1.92414,4.80856,9.35177,0.43826,1.24318,0,2.53933,0.00831,3.90526,5.64666,2.35493,0.03371,3.3076,0.23337,0.03642,0.05951,2.12262,6.29812,0.09618,4.44781,1.77925,0,0.05959,7.38027,2.27181,0.00161,8.53715,0.05979,0,0.2784,5.15402,8.86089,1.03505,8.29685,3.84213,1.37633
"Faecalibacterium prausnitzii",2.38626,0.19721,7.30239,0.69141,0.49119,4.24539,0.00875,2.7585,5.6786,10.23027,1.36724,0.19176,1.37783,10.17197,11.07942,2.64837,2.77963,4.52929,0.008,5.61368,2.39615,0.0823,0.97561,4.23863,10.96624,4.94993,5.6119,5.30217,0.90501,6.95431,0.30554,0.89098,3.41842,4.6288,2.91654,3.56354,1.06663,0.15452,8.544,9.0602,12.40687,7.26576,4.33804,30.32443,3.13972,0.01547,1.08775,3.11825,0.40898,1.25496,8.24531,3.50874,7.72347
"Eubacterium sp. CAG:180",0.0993,0,14.93737,4.11182,4.94424,0,0,0.12292,0,0,0,0,0,0,3.43558,1.35881,3.60846,0.00348,0,2.78639,0.11406,0,0,1.07652,4.22505,0,0,12.35682,0,9.16486,0,0,1.35558,14.46347,5.3711,0,5.1283,0.006,0,1.16161,0,4.36199,1.61378,0.00734,6.13396,0,1.93362,0,4.4067,0.006,0,0,0
"Fusicatenibacter saccharivorans",0.15475,0,1.31224,0.45976,0.53105,0.23316,0,0.85179,0.43609,0.26754,0.11839,0,0.21086,0.06439,0.37905,0.4124,0.08619,0.86043,0,2.15895,0.35473,0.00819,1.65901,0.2456,1.22473,0.13498,0,0.6431,1.20014,0.87203,0.03587,2.34796,0.53653,0.59412,2.62212,0.04536,0.37861,0.07537,1.30537,1.1046,1.79418,2.28489,2.98745,1.21051,0.19297,0,0.19114,0,0,0.27227,0.2069,0.05131,1.38997
"Anaerostipes hadrus",0.45868,0.40248,0.03117,0.13694,1.59479,0.25703,0,1.97472,0.28129,4.72974,1.98994,0,0.68186,0.02719,0.2382,2.23766,0.00958,6.41011,0,0.29834,0.00889,0.67218,1.06917,7.32227,5.64283,3.64758,4.40235,0.30593,8.72428,1.5299,0.05838,13.4024,0.58461,0.84151,1.96738,0.01951,0.04221,0.05856,2.0266,0.15781,0.04229,2.81543,4.99767,0.07743,0.07814,0,0.12535,0,0.27566,0.37154,0.6995,0.71254,2.00829
"Coprococcus comes",2.4658,0,0.76305,1.05937,0,0.20941,0,0,0.09887,3.04029,1.60905,3e-04,0.03718,0.16871,0.92293,1.92294,0.65612,0.97646,4.21955,0.10305,0.19423,0.17872,0,0.68354,1.64187,8.1799,0.0067,0.59762,1.00252,1.49991,0.30938,2.3179,1.47925,0.95081,0.4784,1.50322,0.26452,0.02644,3.72347,1.99887,0.6391,0.71456,0,0.38773,1.11359,0,0.44017,0,0,0.98489,0.23564,4.87989,1.07708
"Phocaeicola vulgatus",20.00271,0.01552,1.51223,8.75419,9.41083,0.00247,0.01867,2.33025,4.49974,4.90474,3.34818,6.99052,0.64683,0.20641,0.82649,4.81274,25.79812,1.43682,2.6684,15.63147,0.61358,11.59894,20.92364,5.3802,8.10216,15.01054,13.27002,10.42112,3.5783,2.21152,0.22245,0.0889,5.73276,4.07983,22.02689,12.02433,8.52052,0.02659,5.23255,2.09031,0.85213,7.77538,1.4393,5.05657,0.59402,0.00291,10.43852,0.08898,9.32478,11.37109,12.57625,2.32221,4.02319
"Ruminococcus bromii",0.21902,11.13099,5.03704,17.0574,6.78954,0.47467,0,21.24318,0.07575,0.00191,8.81549,0.00659,8.02923,0.01739,0.03516,3.75012,0,19.00847,0,2.77502,0.35347,18.33808,0.06662,7.43094,0.21153,0,0.02348,0.05131,17.77669,12.01308,0.75864,0.82368,0.11815,4.80982,0,0,0,0.3377,11.59859,0.00374,4.62737,9.35474,9.53778,0.48986,0.00246,8.23875,5.32289,0.21092,0.53514,8.00853,0.30659,0.00341,4.41864
"[Eubacterium] rectale",6.62719,0.02936,0.97069,0.39512,0.07859,1.27232,0.30507,0.06588,0.12435,8e-04,0.0048,0.00192,0.00419,2.04565,0.03878,0,0.21517,8.46047,0,1.22549,0,0.01867,2.70242,0.12383,9.1058,0,3.92027,0.17982,2.83788,2.785,3.84157,0.11065,7.59121,0.27598,0.01441,0,2.40422,0.30089,2.44964,1.34419,1.81145,0.0896,15.34468,0.31315,3.15388,0,0.59083,0.60467,0.00423,0.09774,0.00635,0.00179,0.00129
"Blautia obeum",1.70538,0.14216,0.32982,0.06841,0.25157,0.1243,0,3.7898,0.27709,1.33112,0.3689,0.00198,0.53395,0.03086,1.26091,1.00291,0.04658,0.55916,0,0.30297,0.14736,0.49009,0.12747,0.3853,1.07178,1.12173,0.01635,0.46972,0.68721,1.57429,0.08759,5.09347,0.49034,0.2153,0.50923,3.81405,0.33332,0.00491,2.70165,0.3479,0.86722,1.13964,2.38645,0.0256,0.2895,1.76995,1.62892,0,0.05166,3.56564,0.74261,0.25986,1.17869
"Anaerobutyricum hallii",0.22612,1.00878,0.40934,0.01859,0.19938,0.00313,0,1.44571,0.64117,3.0886,0.30381,5e-04,0.10017,0.01421,0.42105,0.23271,0.01802,2.98495,0.13864,0.03963,0,0.03645,0.28881,2.74302,4.15952,0.05041,1.33083,0.36092,0.85713,0.7677,0.15522,7.05174,1.0902,0.40495,0.09333,0.09121,0.00322,0.02623,1.26295,1.26619,0.05191,1.62591,3.52773,0.03474,0.3653,0,0.16854,0,0,0.2776,0.0223,0.1453,2.06136
"Eubacterium ramulus",0.08785,0,0.11152,0.11074,0,0.27183,0,0,0.0534,0,0.65178,0,0,0,0.22167,0.88892,0.08485,0.65396,0,0.02008,0.00719,0.00094,0.02932,0.57478,0.47568,0,0,0.04516,0.22494,0.22046,0.0774,0.5873,0.37376,0.32393,0.31493,0,0.51564,0,1.09279,0.20827,0.16443,0.25638,0,0.04226,0.17245,0,0.16452,0,0,0.09041,0.17474,3.28257,0.02163
"Phascolarctobacterium succinatutens",0,0,0,0,0,0,0,0,1.86038,0,2.1262,0,0,1.74897,2.93003,0.49913,2.00559,0,0,0,0,0,0,0,0,0,0.00246,0.14283,0,0.00067,0.38828,0,2.65295,0,0,1.29912,1.48768,0,0,1.34052,0,0,0,0.00331,0.13461,0,0,0,0,1.06348,0,1.76423,0
"Bacteroides uniformis",8.96217,1.31916,11.87264,2.08556,0.65505,27.25864,0.00843,4.15564,0.38861,7.82978,2.37134,26.42375,2.09559,0.06846,0.61238,0.82391,2.81699,12.03607,7.40517,6.1305,12.8962,20.46188,13.93129,9.55369,3.67587,3.9241,19.38269,0.96392,1.78659,4.64575,0.82927,0.04995,0.60065,4.18117,1.71985,0.31743,29.043,0.04837,0.00288,2.21084,0.71451,0.69458,0.42972,12.31615,0.16519,11.886,18.92253,0.89896,6.42389,18.52133,7.27013,5.76057,6.53431
"Firmicutes bacterium CAG:110",0.00146,0,0.46737,0,0,0,0,0,0.67038,0,0,0,0.04619,0,0,0.94704,0,0.31716,0,0.11909,0.32735,1.46556,0,0,0.11886,0,0,0,0.09418,0.39024,0,0.00523,0.00458,0.01868,0.15022,0,0,0,0,0.06135,1.73092,0.03934,0,2.25914,0.05052,0,0.21026,0,0,0,0.03989,0.0012,0.28031
"Bacteroides ovatus",0.1964,1.22144,0.04269,2.77256,0.02412,0.6856,0,0.26041,0,0.03515,0.42759,0,0.01514,1.55722,0.00227,0,0.01196,0,1.47363,0.54293,0.56032,2.19835,6.99973,1.42749,0.97318,0.23555,0.01028,1.94255,0.49332,0.22986,0.59517,0.01878,0.18516,1.04745,0.71373,0,0.39243,4.91442,0,0.4956,0.03119,0.06304,0.2011,2.98607,0,14.23369,0.0386,0.19274,0.04437,5.05543,0.09038,0,0.05315
"Agathobaculum butyriciproducens",0.13426,0,0.07155,0,0.01933,0.72824,0,0.16149,0.13503,0.23744,0.32585,0,0,0.40219,0.05575,0.02934,0.06573,0.05287,1.17168,1.65072,0.00882,0,0,0.08245,0.22832,0.2513,0.13402,0.04106,0.00077,0.13301,0.0133,0.92473,0.24369,0.17914,0.34821,0.30748,0.15759,0,0.34053,0.16154,0.5228,0.0425,0.11511,0.15195,0.06368,0,0.02275,0,0.25551,0.03058,0.27131,0,0.14811
"Akkermansia muciniphila",0.26779,0.18134,0.76447,0.20162,19.68177,0,0,0.52116,0.71135,0.00175,1.02914,18.7794,0.74453,0.0044,0.00161,0.01575,0,0.91811,0.05067,0.68003,17.98455,0.17587,0,0.6061,0.06794,0,1.13601,0,5.13762,0.01138,4.54345,1.06994,0.03519,0,1.81239,0,0.00644,11.04523,0.0011,0.00562,0.00115,2.04837,0,1.62166,1.85772,0,1.42389,2.55977,0,0,0.02783,0,5.83341
"Roseburia hominis",0.02368,0.037,0.27081,0,0.04266,0,0,0.66504,0.33414,0.77572,6.51123,0,0.00903,0.00638,0.00469,0.06479,0.03324,0.08252,0,0.56045,0,0,0,0.75981,0.00858,0.34724,0.00164,0.13735,0,0.0735,1.06789,0.11408,0.00531,0.50263,0.41643,1.54486,0.03009,0,0.00463,0.43949,0.04647,0.04319,0.06922,0.02991,0.01789,0,0.10821,0,0,0.02512,0.5122,0,0.00605
"Ruminococcus bicirculans",0.23183,0,0,0,0.27032,2.40174,0,7.08499,0,0,0.0074,0.00894,0,0,0,0,0.00943,0,0,0.0926,0,0.00769,0,0.21824,3.16356,0.00387,0.01544,3.68138,0.46014,0,0.10994,0.01544,0.16102,0,1.19966,0,0,0,1.11769,0,0.12398,0,0,0.1099,0,0,0,0,0,0,0,0,0.03346
"Alistipes shahii",0.22291,0.05681,0,0.03901,0,0,0,0.03429,0.19362,0.0574,0.02808,0,0.41883,0.02504,0.17807,0.10005,0,0.00369,0.01717,0,0.05284,0,0,0.1143,0.09931,0.17189,0.61002,0.23654,0.20347,0.08024,0.00933,0.00093,0.03009,0.12725,0.15459,0.19585,0.0973,0,0.01145,0.02724,0.09641,0.04715,0.00089,0.54385,0.01692,0.00943,0.08186,0.71936,3.15168,0.07561,0.52884,0.21882,0.36342
"[Ruminococcus] lactaris",6.93112,0.00726,0,0.01393,0.6565,1.29469,0,0.00041,0.02463,0.04776,0,0,0.04973,0,3.06453,2.51473,0,0,0,0.82128,0,0,0,0.19293,2.14013,0,0.00464,0,0.09885,0.2286,0,0.81141,0.03275,1.07715,1.10308,0.1335,0,0,3.84493,0,0,0,0,0.11234,0.01321,0,1.66627,0,0.30404,0,0.0487,0.07797,1.68641
"Bacteroides faecis",0,0,0,0,0,0,0,0.10479,0,0,0,0,0,0.03503,0,0,0.00305,0,0,0,0,0,0,0,0,0,2.98191,0,0.28556,0.91411,0.04127,0,1.36503,0,0.76763,0,5.93317,0.00594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides merdae",1.95545,0.19793,3.33492,1.15621,0,0,0,1.76623,0.15094,1.30007,1.14432,0.20758,0.22757,0.31727,0.47049,0.24262,0.4662,0,1.6742,1.92219,0.38086,0,0,1.62237,0,2.2084,0.016,3.36261,1.08742,0.95935,0.26039,0.04486,1.6711,0.81077,2.1784,1.54716,0,4.62274,0,4.54077,2.66486,0.97038,0.05464,0.0111,1.38751,0.09113,0.98598,0.11988,0.40183,0.461,1.81303,2.37458,0.1236
"[Clostridium] leptum",0,0.05579,0.00291,0,0.00523,0,0,0.03402,0.0037,0.09963,0.00267,0.00033,0.05368,0.00051,0,0.00427,0,0.07304,0.03928,0.00221,0.01923,0.00797,0,0.02115,0.00099,0.01735,0.03198,0,0.16275,0.18056,0,0.14959,0.01416,0.05817,0.00383,0,0.00253,0.03665,0.05529,0.02355,0.01634,0.01133,0.02421,0.01264,0,0,0.00545,0.02358,3.5572,0.01468,0.00979,0,0.00574
"Coprobacter fastidiosus",0,0.87146,0.02503,0,0,0,0,0.00519,0,0,0.30359,0,0,0,0,0,0.06359,0,0,0.20572,0,0,0,0,0.04483,0.02016,0.11462,0,0.40685,0.13297,0.01159,0,0.06133,0.1416,0.27853,0,0.37207,0,0.75392,0.72815,0,0.91895,0,0,0,0,0.05798,0,0,0.30311,0.71631,1.53429,0.0239
"Lachnospira eligens",0.57997,0.24066,0,0.07098,2.02622,0.56742,0,0.0301,3.23812,0.74338,0,0.01656,2.24916,0.02224,0,2.64767,0.75647,0.00673,0,5.64492,0.02467,0,0,0.52891,3.70638,0,0.00377,0.36873,0.11426,2.88997,6.24325,3.21835,1.31426,9.21607,1.91882,0,0.41442,0,0.06215,0.34543,7.29649,1.20808,1.58232,1.02752,0.18049,0,1.36262,0,0.00819,0.00097,3.03796,0,5.44111
"Coprococcus catus",0.78393,0,0.1567,0.23663,0.49909,0.01093,0,0.62121,0.24856,0,0.55949,0,0.25178,0,0.0643,0.05794,0.21206,0.47263,0,0.10218,0.0713,0.00375,0,0,0.3369,0,0.40998,0.74447,0.55596,0.95142,0.18788,1.93204,0.44994,0.17644,0.17767,0.53412,0.01767,0,0.26017,0.14989,0.53413,0.12178,0.52775,0.07591,0.12415,0,0.36669,0,0,0.79788,0.08244,0.04937,0.32608
"Parasutterella excrementihominis",0,0,0.04123,0,0.41521,0,0,0.02644,0.06144,0.33546,0,0,0.01439,0,0.00976,0.03535,0,0,0.09544,0.24059,0.06259,0,0,0.27856,0.20988,0,0.0786,0,0.16722,0.00895,0,0,0.06033,0.04768,0,0,0.1056,0,0,0.0427,0,0.42709,0.01988,0.5333,0,0.11748,0,0.34372,0,0.00054,0,0.06966,0.05197
"Bacteroides caccae",6.69429,2.75452,2.45715,0,1.16774,0,0,0.41528,0.0092,0,0.38319,2.89191,1.79878,0.56783,0.36759,0.33051,0.09465,0,0,4.1657,0.03923,0,0,0.51971,0,0,0,2.36214,1.12514,0.68831,1.30572,0.04228,0.07439,0.53742,0,3.65351,0,0.00345,0,0,1.15511,0.84156,0.02939,1.85355,0.67632,0.32156,2.14378,0.05797,0.06011,0,5.53215,0,0
"Eubacterium ventriosum",1.11048,0.28376,0,0.08868,0.00473,0,0,1.1813,0,0,0.03154,0,0.04004,0.00165,0.00814,0,1.04333,0.06949,0,0,0,0,0,0.09698,0.2602,0,0,0.0301,0,1.23686,0,0.79447,0.85695,2.32939,0.13521,0,0.18234,0.00498,0.32128,1.49964,0,0.29305,0.5624,0.11737,0,0,0.10742,0,0,0.69018,0.17801,0,0
"Dorea longicatena",2.97034,0.11527,0.17178,0.608,1.80064,0.43938,0,0.16023,0.70711,0.78217,5.84303,0.00044,0.63373,0.20187,1.06194,0.16529,0.15955,2.51899,0,0.37518,0.13959,0.21359,0.45161,1.32774,1.50931,0,0.0052,2.16513,3.29505,1.16356,0.2426,9.09688,3.69427,1.2021,2.27131,3.15739,1.35205,0.03031,5.5982,2.39464,0.58965,1.20266,8.17692,0.20688,1.67346,0,1.13378,0.013,0,0.69435,0.17796,7.19107,1.58727
"Firmicutes bacterium CAG:238",0,0,0.23418,0,0,0,0,0,0.2133,0,0,0,0,0,0.12275,0,0,0,0,0,0.01641,0,0,0,0,0,0,0.12913,0,0.00853,0,0,0.00072,0.07755,0,0,0,0,0,0,0.07535,0.00465,0,0,0,0,0.06634,0,0,0,0,0,0.44437
"Odoribacter splanchnicus",1.15148,0.27071,0.11947,0.29788,0.67764,0.35647,0,0.13071,0.31921,0.30543,0.9748,0,1.2944,0.01379,2.87719,0.94377,0.09744,0,0,1.38475,0.15056,5.59917,0,0.52887,0.34452,0.8133,1.22894,1.43015,3.1398,0.77145,0.25252,0.00789,0.21725,0.50106,0.59526,0,0.69623,0,2.83635,0.2183,0.32805,1.04485,0.02043,0.09809,2.20982,0,0.64705,0.03128,1.26505,0.39183,2.55502,0.58683,0.34785
"Oscillibacter sp. CAG:241",0,0,1.07767,0.37199,0,0.21125,0,0,1.03699,0.72595,0.00398,0.00016,0.2405,0,0.0022,0.33133,0.02839,0.33566,0,0.23304,5.84825,0.2435,0,3e-04,0.03455,4.47372,0.01354,0.15181,0.05518,0.23969,0.16933,0.00796,0.02292,0.17743,1.02633,0,0.13635,0,0,0.02157,0.94108,0.36137,0.00062,0.01634,1.19878,0,0.36357,5.45257,0.03661,0,0.5759,0.49983,1.29677
"Roseburia inulinivorans",0.38205,0.37972,0.40247,1.24938,0.30882,3.90118,0.00169,0.01833,0.34928,0.03809,0.43587,0.03117,1.41479,20.31149,4.13006,1.48448,5.57709,0.87763,0,0.23774,0,0.11098,0.65245,2.76583,3.39568,0,8.25965,1.16316,0.01705,0.70615,0.01316,1.1077,1.21282,0.12048,0.37571,10.72336,0.72983,0.03105,0.74022,2.72457,2.88838,0.72985,1.98002,4.61739,1.53924,0,0.97964,0.02972,0.11939,0.12466,0.42997,0,0.3489
"Dorea formicigenerans",0.77039,0,0.18497,0.20343,0.1084,0.0838,0,0,0.29867,0.24412,1.03248,0,0.14555,0.30704,0.60131,0.66939,0.13431,1.05559,0,0.00088,0,0.03566,0.19315,0.21628,0.94357,0,0,0.40873,0.0922,0.50068,0.54,3.45451,1.29656,0.81557,0.79194,2.27061,0.06167,0.00028,0.74104,1.18368,0.40809,0.62282,4.68201,0.07108,0.56041,0,0.50654,0,0.03058,0.77217,0.15254,0,0.27688
"Blautia wexlerae",0.08401,0,0.02913,0.06284,0.04181,0.00393,0,0.90043,0.03937,0.55483,0.10132,0,0.00942,0.07134,0.27225,0.15478,0.00301,0.77941,2.49081,0.01652,0,0,0.12385,0.51714,0.21971,0.30883,0.01316,0.06787,0.04494,0.40882,0.02597,2.40055,0.11216,0.09233,0.91308,0.03566,0.00147,0.01382,0.07727,0.08494,0.08124,1.04684,1.27181,0.02713,0.12137,0,0.0801,0.00226,0.02972,0.00478,0.00972,0.10515,0.30711
"Enorma massiliensis",0,0.78581,0.00464,0,1.1775,0,0,0.01817,0.00823,0.07462,0.00266,0.00104,0.00913,0.00041,0,0.87275,0,0.00871,0.83094,0.023,0.00207,0.18253,0,0.00364,0,0.17072,0.05071,0.0028,0,0.05575,0,0.02155,0.00239,7e-04,0.33727,0.03113,0,0.09785,0.00069,0.00258,0.02201,0,0.00605,0.00143,0.00188,0,0.00907,0.06484,0,0,0,0.00413,0.01875
"Adlercreutzia equolifaciens",0.02151,0,0.0466,0,0.00544,0,0,0,0.01651,0.0595,0,0.00627,0.0208,0.03535,0,0.00017,0,0.32261,0.03357,0.02366,0,0,0,0.05743,0.25708,0.14263,0.14331,0,0.42075,0.00496,8e-04,0.46909,0,0.13374,0.25735,0.00046,0.01449,0,0.00039,0.13302,0.08622,0.15439,0.13492,0.11044,0.01075,0,0.03442,0.08284,0,0.17226,0.01094,0.02835,0.05333
"Bacteroides cellulosilyticus",0.08057,0.36656,3.13637,0,0,0.31928,0,0,0.06984,0,1.93855,0,0.07575,0,0,0.71181,0.24533,0,0.50477,0.79969,0.22948,3.19349,0,0.43224,0.49821,0.47711,0,0.30278,0.12899,0.36787,0.00625,0,0,1.05061,0,0,5.79201,0,0,0,0,7.76029,0.14844,0,0.01063,4.80588,0,0,0.01777,2.28436,0.06502,0.99601,0
"Firmicutes bacterium CAG:95",0,0,0.04717,0,0.00212,0,0,0,0.00933,0.03634,0.01422,0,0.00359,0,0.14606,0,0,0.01208,0,0.12736,0,0.00746,0,0.06174,0,0,0,0,0,0.16535,0,0,0.00278,0.20343,0,0,0.03532,0,0,0.00172,0.02189,0.44056,0,0,0.00241,0,0.12608,0,0,0,0.02149,0.04371,0.16589
