"","O2_UC1_0","O2_UC1_2","O2_UC11_0","O2_UC11_2","O2_UC12_0","O2_UC12_2","O2_UC13_0","O2_UC13_2","O2_UC14_0","O2_UC14_2","O2_UC16_0","O2_UC16_2","O2_UC17_0","O2_UC17_2","O2_UC18_0","O2_UC18_2","O2_UC19_0","O2_UC19_2","O2_UC2_0","O2_UC2_2","O2_UC20_0","O2_UC20_2","O2_UC21_0","O2_UC21_2","O2_UC22_0","O2_UC22_2","O2_UC23_0","O2_UC23_2","O2_UC24_0","O2_UC24_2","O2_UC26_0","O2_UC26_2","O2_UC27_0","O2_UC27_2","O2_UC29_0","O2_UC29_2","O2_UC3_0","O2_UC3_2","O2_UC30_0","O2_UC30_2","O2_UC31_0","O2_UC31_2","O2_UC32_0","O2_UC32_2","O2_UC34_0","O2_UC34_2","O2_UC35_0","O2_UC35_2","O2_UC36_2","O2_UC37_0","O2_UC37_2","O2_UC38_0","O2_UC38_2","O2_UC4_0","O2_UC4_2","O2_UC40_0","O2_UC40_2","O2_UC41_0","O2_UC41_2","O2_UC43_0","O2_UC43_2","O2_UC44_0","O2_UC44_2","O2_UC46_0","O2_UC46_2","O2_UC47_0","O2_UC47_2","O2_UC48_0","O2_UC48_2","O2_UC5_0","O2_UC5_2","O2_UC9_0","O2_UC9_2","V1_CD1_0","V1_CD10_0","V1_CD12_0","V1_CD15_0","V1_CD15_3","V1_CD17_0","V1_CD17_4","V1_CD18_0","V1_CD18_3","V1_CD20_4","V1_CD21_0","V1_CD21_4","V1_CD25_0","V1_CD25_4","V1_CD35_0","V1_CD35_1","V1_CD41_0","V1_CD6_0","V1_CD6_4","V1_CD7_0","V1_CD7_4","V1_UC1_0","V1_UC10_0","V1_UC10_2","V1_UC11_0","V1_UC11_5","V1_UC12_0","V1_UC12_4","V1_UC13_0","V1_UC13_3","V1_UC14_0","V1_UC14_1","V1_UC15_0","V1_UC15_3","V1_UC17_0","V1_UC17_2","V1_UC2_0","V1_UC2_4","V1_UC21_0","V1_UC21_4","V1_UC23_0","V1_UC23_1","V1_UC25_0","V1_UC25_1","V1_UC26_0","V1_UC26_4","V1_UC3_0","V1_UC3_2","V1_UC31_0","V1_UC31_4","V1_UC35_0","V1_UC35_4","V1_UC38_0","V1_UC39_0","V1_UC4_0","V1_UC4_5","V1_UC40_0","V1_UC45_0","V1_UC47_0","V1_UC49_0","V1_UC49_1","V1_UC5_0","V1_UC5_3","V1_UC50_1","V1_UC51_0","V1_UC51_4","V1_UC52_0","V1_UC52_1","V1_UC53_0","V1_UC53_4","V1_UC54_0","V1_UC55_0","V1_UC55_4","V1_UC56_0","V1_UC58_0"
"Prevotella copri",28.69763,9.54583,0.00679,0,4.66752,28.61033,0,0,43.00741,0.45268,33.35717,24.45121,58.47746,1.70362,0,0,0,0.01697,0,0,0.18458,0,0,0,0,0,0.04781,0,53.53686,4.33892,0,0,0,0,1.8461,0.95466,0,8e-04,0,0,0,0,0,0,60.34755,0.00264,0,0,0,0,0,37.49178,36.59704,0,0,0,0,0,0,36.7017,55.32405,11.62811,12.79892,0,0,1.41842,0.01169,0,0,0,0,0,0.00222,0,0.00884,0,0,0,0.00511,0.00553,23.04906,38.01435,0,0.00951,0.01117,0,0,0.04383,0.01817,0,0,0,0,0.00451,0,0,0.02427,0,0.00621,3.02321,24.13455,0,0.00406,0,0.00101,0,0,0.95931,0.00118,0,0.0029,8.3805,11.19608,0,0.01551,30.06446,0.0121,2.44678,7.23615,34.77669,56.59801,0,0,0.00853,0,16.08679,14.71461,26.72646,6.95699,0,0.00062,0,0.73471,0,0.00515,0.00583,0,0,0,0,0.01969,32.71947,56.05546,0.07319,0.02177,0.00435,72.17412,0.10124
"Roseburia faecis",0.05916,0.2556,61.10209,35.27391,0,0,8.63607,7.75764,1.318,0.64797,3.26222,1.85439,0.04192,0.32827,0.6191,1.45617,0,0,15.27165,0.63083,1.82839,0.83366,17.73211,6.41822,1.92703,0.5042,0.01503,10.6306,1.92634,1.43261,0,0,12.79074,6.73349,0.69266,0.46684,3.41642,1.79904,8.92998,2.23564,2.01123,3.61587,0.94991,1.12488,0.78228,1.23642,10.71803,11.17683,2.6791,0.18734,0.02778,0,0.00357,13.34368,10.22251,0.36797,1.56068,8.48079,0,3.68545,3.71426,10.72913,8.04422,5.88475,17.56882,1.90497,0.0083,1.96181,5.73231,4.71883,10.4181,3.85613,4.0865,0,0.08034,0,2.89293,1.12076,0,0,3.87138,0.16378,0,0.00355,0,0,0,0.10341,20.04726,16.43482,0,0,0,0,1.2111,3.60064,7.70603,0,0,0.92118,7.78084,0,0.00155,1.12146,2.02674,11.69706,7.32353,3.95743,0.79001,0.97418,0,11.28393,0,1.91453,2.63846,0,1.13771,2.83657,4.95783,6.24806,1.83211,1.5761,12.40353,14.00304,12.21427,0.0258,0.00077,1.6718,0.30777,0,0.20945,6.0205,0.13782,0.0138,1.40078,2.73474,0,1.35435,6.51325,8.02515,0,3.28875,0.87993,7.11373,2.70094,7.467,1.83374,4.87046
"Butyrivibrio crossotus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46324,1.20806,0,0,0,0,0,0,0,0,0,0,6.95965,25.18581,0,0,0,0,0,0,0,0,11.34542,0,0,0,0,3.82656,7.69904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02336,0,0,0,0,0,15.72593,11.12621,0.00076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus bromii",2.42269,0.42111,0,0,0,0,5.5561,0.82248,0,0,0,0,0,0,1.56652,1.38731,0,0,10.36748,0,0,0,3.20782,6.89146,0.87003,1.50237,0.02566,0.04079,1.31747,6.70621,0,0,0,0,0.11253,0.12435,17.85061,7.8491,0,0,10.16315,0.00089,0,0,0,0,8.02731,6.0539,0,0,0,2.55404,2.06036,4.59072,2.38677,0.33462,3.57475,0,13.66205,0,0,2.86447,2.57652,0,0.0033,4.35843,3.62361,3.57199,0.00025,0,0,0,0,0.06508,0.14569,0,0,0,0,0,0,0,0,0,0,0,4.80703,0.00207,0,0,0,0,0.06512,1.47114,0,7.97938,0.03506,0,0,0,0,2.54101,7.60209,7.78726,0.11358,2.59252,4.9732,0.0971,2.18382,0,0,0,0,8.91621,11.57576,0,3.35193,7.0282,0.80652,0,0,0,0,0.41919,0,0.01083,0,0,0,4.2008,7.59099,2.46049,2.57563,3.51187,0,0,0,1.32962,4.53347,0.37102,12.03873,0.00221,0.00137,0,5.35027,0.00264,0,7.61637
"Faecalibacterium prausnitzii",4.49077,6.47147,8.77828,13.43724,5.7707,8.85176,2.05321,4.9088,0.53065,1.6294,5.74049,10.86902,2.39118,4.96579,4.3667,6.82817,0,0.17237,5.58593,7.39737,4.48507,3.67321,4.18784,4.36625,5.09906,7.94969,1.92015,5.71724,3.55333,7.94414,0,0,6.85213,7.96165,1.72157,1.57133,4.00811,3.36015,6.83237,6.70564,4.20681,7.25974,8.94976,8.05975,1.98835,1.88383,4.5891,2.82392,11.04579,2.50593,1.50561,7.1297,5.77829,4.87167,10.14651,7.76582,5.46174,4.51948,3.41033,4.09798,3.31896,4.87555,6.92545,2.94235,1.54822,2.38023,0.63406,3.39281,4.04364,5.89966,2.98066,8.3191,13.28457,1.29692,0.03209,0,2.52686,4.56126,0.00073,0.00094,4.03205,1.08894,0,0.47348,0.41043,0,0,0.00421,0,3.8627,0.45342,0.63476,0,0,1.57862,10.6713,16.59047,0.03294,0.43169,3.41161,9.16508,0,0.86343,4.02408,0.0058,11.73084,7.1015,1.07666,0.22793,7.61522,10.81836,5.09222,6.8482,5.90645,10.2648,5.22489,0.20654,4.6077,2.53026,5.61892,5.92661,5.2006,6.2604,2.6835,3.09831,11.67236,10.74671,4.31536,2.69965,9.53957,1.82263,3.27275,5.4324,4.32396,3.52278,6.13524,1.77038,3.69436,5.55364,4.52296,4.29042,6.70277,2.38736,4.83413,3.71811,6.0727,5.39775,6.97199
"Lachnospira eligens",0.30927,1.31467,9.13223,1.71031,4.21624,5.30502,7.84549,0.18392,0.71358,2.32591,9.31447,19.7411,0,0.02645,2.57989,0.27849,0,0,0.08262,0.48514,21.25257,17.41689,1.27076,1.34134,7.83237,2.15155,4.88621,4.94353,6.13978,4.19913,0,0,11.63472,20.32491,0.64228,0.46394,0.24476,3.05996,2.07243,3.26361,0.3021,0.54802,4.54101,3.04342,4.44225,3.66867,1.96883,2.59473,1.25547,10.0123,4.06637,3.26268,3.56111,4.59829,2.19479,1.15162,0.39641,7.72893,1.64866,0.30774,0.72986,1.94524,3.44418,2.99458,1.73003,3.05491,1.71692,1.52448,0.298,1.14801,0.73599,1.60406,4.75595,5.98219,0.00118,0,0,4.22183,0,0,0,0,0.0484,0,0,0,0,0,0,0.1327,15.58141,0,0.00593,0,0.31991,2.40627,1.8313,0,0,0.48771,1.78376,3.82967,3.92075,14.88088,0.00602,13.19159,3.37307,0.15704,0.79599,2.08478,2.90326,23.76639,15.28428,2.36501,3.64629,4.00871,0.36627,1.13404,4.35232,0.44262,0.58304,1.39475,3.66754,4.51994,2.542,4.29268,1.45481,6.03682,0.94227,0.88088,1.38446,2.29249,0.98947,9.38782,5.26858,0.56648,0.52348,7.22615,4.8259,7.34861,1.46418,0.29953,0.73951,3.93974,0.8127,1.9313,3.67704,0.48576
"Phocaeicola vulgatus",0.8025,1.23065,0.89497,2.33715,13.22004,4.41022,4.29136,1.2767,1.85867,1.27529,0.67231,0.46467,13.47494,20.86923,3.79878,1.53247,0,0.0063,1.03389,6.44961,13.82898,10.94858,4.29924,5.69283,18.68838,5.87821,2.78449,3.30397,0.54749,0.79939,26.9522,28.46707,0,0,1.42946,0.8983,7.33177,11.04479,3.19414,16.60891,6.23942,4.4127,4.65853,2.31843,7.84085,44.70838,0,0,9.78154,15.16383,2.99202,4.32547,4.92204,0,0,7.11697,6.56145,9.53858,11.35255,0.1568,0.00954,5.45492,1.7262,3.71582,4.30439,1.3358,2.1685,2.21229,9.19459,10.88565,6.7126,1.60309,5.90354,38.33876,0.01379,0,25.3118,16.34835,15.05712,15.43651,30.04509,29.67894,27.59669,36.41511,44.12362,0,0.02509,42.01961,12.48887,17.57131,13.70106,10.14192,40.70476,1.49425,0,0,4.03756,0.00491,9.48198,0.53878,0.28781,1.49835,1.72465,7.7405,57.47003,0,7.39502,2.68347,4.77796,6.52206,12.18171,12.30361,13.65169,14.88943,10.25152,4.45742,0.80042,2.39035,2.27189,1.392,0.5563,7.82491,14.73684,10.37524,11.69195,9.03404,0.01159,0.44382,7.38192,10.69521,1.39587,8.82845,1.81107,0,25.91,3.2892,0.00252,11.69059,4.45137,8.44452,10.15304,0.14729,0.09925,2.37892,0.36333,5.02684,1.88091,6.0364
"Alistipes putredinis",1.12362,2.57944,0.0543,0.3351,0,0.0122,0.39876,1.89315,0.38434,5.33374,0,0.03267,0.89637,0.22143,1.41808,1.33889,0,1.70704,1.08599,5.69137,0,0,1.11618,8.81163,1.3223,3.03305,0,0.04149,0,0.21262,0,0,0.02562,6.98034,1.82789,1.42656,7.24566,9.82784,0.03158,0.04884,1.40992,0.91389,3.21623,4.69374,0.98961,0,1.4627,1.32187,2.89108,0.0093,0.00127,1.23077,1.20349,0,0.00634,3.20474,3.73761,5.06757,1.80977,0.00128,0,2.9823,8.28846,0.98097,1.4873,1.79513,0.63264,4.2099,10.43512,6.13142,1.5698,2.81881,3.39282,0,0,1.57997,0,0,0,0,0,0,1.19097,0,0.02054,5.05378,7.44624,0.01646,0.00365,0.0013,1.10885,4.67949,0.00993,1.21846,0.05522,0,0.02937,0,0.02112,1.62113,2.64737,8.18747,5.10975,0.37362,0,0,0.02061,0.42054,0.70439,1.96,2.02582,1.97854,6.3453,0.60807,2.40212,0.63564,7.26951,0.75373,0.69429,0,0.49356,0.03099,0.03347,1.22975,6.51442,4.50159,0.01021,0.00421,0.0128,0.21681,1.58144,3.05889,2.29673,0,1.89724,0,1.63215,0.02308,1.28565,3.73323,2.18221,0.00821,0.00753,1.20826,1.40664,0.84494,0,2.83167
"Lachnospira pectinoschiza",0,0.03526,0,0,0,0,0,0,1.386,3.26238,1.56222,2.5475,2.67706,1.01162,0,0,0,0,1.59444,0,4.63152,4.09608,2.91843,1.31068,3.5121,0.53506,0,0.32887,0,0.02833,0,0,0.11511,0,0.34155,0.22691,2.31644,3.90387,0.33536,1.52661,0.91975,0,2.7564,3.4827,0,0,2.97573,0.64275,0,1.89017,0.44079,1.68462,1.70638,0.3721,0.21539,0.89677,0.06787,3.16205,1.34755,0,0,5.42466,1.92909,11.87051,1.67817,0.463,0.62128,1.51437,0.30476,5.02987,6.7084,3.82866,0.01993,0,0,0,0.09391,0,0,0,0,0,0,0,0,0,0,0.00224,0.45233,0,0,0.42472,0,0,1.02216,0,0,0,0,0.50336,2.52292,0,0,0,3.29499,0,3.59649,2.14693,0.00048,0,0,0,0,4.979,0.00322,0,0,0,0,0,0,0.27814,0.18619,0,0,0.00761,0.00233,0,0.03914,0,0,1.51584,0.80019,3.64976,0,0.48197,0,1.54516,1.92303,2.60662,1.17486,0,0,9.0032,1.56142,0.69721,0,2.01313
"[Eubacterium] rectale",7.12876,5.24461,0.01875,0.06293,0,5.72767,0.88908,0.18262,11.89962,0.22663,27.00642,5.16347,0.30827,1.77663,0.62766,1.30524,0,0.31053,17.84407,0.92253,2.18012,3.18087,8.82982,2.40234,3.07361,2.22679,0.59346,0.96973,0.81598,0.24066,0,0,1.13549,0.78499,0.29194,0.20708,1.50985,0.52427,1.78047,1.44601,3.17828,13.12821,3.21482,1.85507,0.55554,1.89932,0.76318,9.50595,0.29136,2.19865,1.9252,0.37764,0.37917,1.90299,1.79912,20.29777,0.0187,0,0.20307,0.15603,4.58989,0.51985,4.39061,1.18546,5.75658,0.17773,0.08294,2.60107,0.8555,1.31872,6.80133,3.18465,10.06826,0,0.11089,5.1294,0.36428,1.68092,0.29528,0.14166,3.62726,0,0,0,0,0,0.00024,0.00097,0,0.14567,0,0.03572,0.00403,0,5.01573,0.38498,0.41168,0,0.00017,0.06851,0.3157,0.079,2.52916,2.72956,0.02647,4.21269,8.76562,12.14386,0.69092,11.08567,15.25005,0.17418,0.32273,6.94727,0.3599,1.30799,0.00051,0.59973,0.34272,3.10091,2.15657,11.55343,0.76501,0.00236,0,9.47878,0.55796,0,1.3952,0.7024,7.61385,0.23902,0.11458,3.90192,0.06014,0.06615,2.20286,3.22614,6.21734,0.47741,0.25704,0.22569,3.15449,1.51336,3.42946,4.25998,0.02105,0.18996
