"","MMRS12272136ST-27-0-0","MMRS14379078ST-27-0-0","MMRS14602194ST-27-0-0","MMRS15137911ST-27-0-0","MMRS16644320ST-27-0-0","MMRS18295921ST-27-0-0","MMRS24340226ST-27-0-0","MMRS25641480ST-27-0-0","MMRS31306426ST-27-0-0","MMRS34525504ST-27-0-0","MMRS41266697ST-27-0-0","MMRS41711735ST-27-0-0","MMRS42780924ST-27-0-0","MMRS43563715ST-27-0-0","MMRS43939546ST-27-0-0","MMRS44197125ST-27-0-0","MMRS44203591ST-27-0-0","MMRS44587603ST-27-0-0","MMRS47662059ST-27-0-0","MMRS47685461ST-27-0-0","MMRS51410669ST-27-0-0","MMRS51728985ST-27-0-0","MMRS54316675ST-27-0-0","MMRS55294627ST-27-0-0","MMRS59699117ST-27-0-0","MMRS62376181ST-27-0-0","MMRS64281211ST-27-0-0","MMRS65205033ST-27-0-0","MMRS65945127ST-27-0-0","MMRS67247116ST-27-0-0","MMRS68910755ST-27-0-0","MMRS71762412ST-27-0-0","MMRS72802364ST-27-0-0","MMRS72980899ST-27-0-0","MMRS77018926ST-27-0-0","MMRS77321055ST-27-0-0","MMRS77487595ST-27-0-0","MMRS78791111ST-27-0-0","MMRS80093644ST-27-0-0","MMRS81194191ST-27-0-0","MMRS81671217ST-27-0-0","MMRS84954772ST-27-0-0","MMRS85382779ST-27-0-0","MMRS86178473ST-27-0-0","MMRS86958796ST-27-0-0","MMRS90191266ST-27-0-0","MMRS92544445ST-27-0-0","MMRS93508324ST-27-0-0","MMRS96422329ST-27-0-0","MMRS97052561ST-27-0-0","MMRS97327636ST-27-0-0","MMRS99045180ST-27-0-0"
"Phocaeicola dorei",0.45741,0,0,0.02939,0.29112,0.00814,0.00298,0.02784,0.52774,0.02747,0.00506,0,0.00236,0.00207,0,0.00153,0.20083,1.82296,0.03779,4.80163,0.40468,0,0.09753,0.00291,0,0.88871,0.00183,0.20699,0.00471,0.55516,0.00781,0,0.00376,0.40984,2.37249,0.00098,0,1.10324,0.01016,1.26448,0.69893,2.96746,0,0,0.05042,0.00146,0.00025,0.20353,0.00378,8e-04,0,0.00212
"Bacteroides uniformis",10.37536,3.12089,13.33155,0.0277,3.56952,1.55517,33.65126,9.54785,13.51539,0.34922,8.6798,4.04112,1.13588,5.11132,4.6351,0.12957,6.24869,3.34814,0.8788,0.00104,1.61761,0.05804,0.5906,17.05099,15.03336,5.93038,1.72005,4.57206,0.00749,2.29114,0.36095,4.15488,4.39093,0.00572,2.37629,0.00178,1.65105,3.04808,4.75478,0.369,1.52719,1.38236,3.44803,0.00615,12.76882,4.0496,7.60888,3.67379,13.2064,36.95751,0.00141,0.00032
"Lachnospira eligens",5.47526,4.7683,3.38989,0.01316,0.94325,0.82249,0,2.57263,0,1.26016,3.83686,0.00184,0,3.04452,12.72541,0.07476,0.00783,1.48658,1.75526,0,3.1035,0,0.81025,0.2962,0,13.49859,0,0.89427,0.21173,1.91373,0.00206,0.73269,0.00132,0,0.03045,1.18287,4.35842,8.34809,0.02471,0,0.47679,1.71034,4.6349,1.92298,0.01884,0.03262,0,0.52368,0.34054,1.16939,0,0
"Roseburia inulinivorans",2.38086,0,0.21696,0.72377,1.52511,2.65232,0,0.11669,0.03044,0.38697,0,0,0.00853,0.53238,0,0.00911,0.00181,0.25883,0.29753,0,1.3741,0,0.40089,2.23935,0.00018,0.41607,0,2.96427,0,0.95777,0.00014,0.6351,1.69695,0.00219,1.28296,1.80658,0.00732,0,0.0252,0.66879,5.84756,3.91545,2.42646,6.21929,0.48351,0.14932,0.00038,0.62525,1.51232,0.15029,0,0
"Lachnospira pectinoschiza",0.00082,0,0.01899,0,0.16218,0,0,0.96248,0.02474,2.18653,1.76743,0,0.37475,1.13922,0,0,0,0.02355,1.17739,0,0.26601,0,0.77257,0,0.00511,0,0,4.60116,0,1.31417,0,1.98064,0.00241,0.00475,0.01288,1.35003,0.02263,3.58293,0.02574,0,1.2089,0,0,2.84565,0.00564,0.0128,1.69952,0,2.56585,0.22055,0,0
"Ruminococcus bromii",0.15326,3.65465,1.99559,10.5571,1.95255,1.06379,0.00167,0,0.07254,2.53494,0,0,0.3653,2.60744,0,0,0.01201,0,3.51478,6.15351,0.56411,0,0.44985,2.05158,0.97739,0,0,0,0.00165,1.49366,0,2.86013,0,0,1.06847,7.79661,1.55461,0,0.01259,0,0,0,1.0999,0,1.67584,0.00361,1.73856,3.33208,9.09336,5.94155,0.02164,2.03875
"Faecalibacterium prausnitzii",7.42308,8.67991,8.55017,1.12724,8.88924,7.57597,2.73239,19.10341,0.13025,2.78884,5.50873,8.87798,1.01524,5.43697,11.12774,0.92918,0.1912,9.86483,8.25178,0.00591,12.73908,0.1166,6.06638,7.42953,0.01173,4.8389,0.01086,5.48513,0.03105,10.36106,0.04768,2.10075,4.56097,0.01311,13.25969,15.05539,5.88599,9.96422,1.50293,7.14405,10.01161,5.73406,7.68308,6.77168,10.13925,11.8103,1.156,7.22267,6.22331,1.40634,0.00355,0.02443
"Bacteroides ovatus",0.02631,2.28349,2.50352,0.00522,1.02002,0.08135,0.00236,0.1736,0.01924,0.22197,0.02188,0.34001,0.59297,0.01657,0.49388,0,33.65879,0.11855,0.52545,0,0.04617,0,0.08848,0.93666,0,0.95321,0.00096,0.12904,0.00716,2.08585,0.01326,0,7.21741,0.0691,0.04102,0,0.05118,0,0.13092,0.00989,0.12481,0.44094,0.91878,0,1.41855,0.74749,18.54164,0.07016,1.21972,2.13183,0.00304,0
"Roseburia faecis",0.29346,0.81172,4.32165,0.00311,4.38424,1.08734,9.64864,0,0.11926,0.73553,0,0.00024,0.00062,2.45073,0,0.63475,0.03688,0.84691,1.67763,0.00058,0.63895,0,2.95546,0.56876,0.00237,0,0.00045,3.28627,22.30556,4.53348,0.00716,1.67187,0,0.00364,0.48729,0.75246,0.28569,0.17211,0.0432,0.13431,15.13963,0.22558,1.46968,5.99769,4.43894,0,1.44861,0.35354,4.69849,0.45366,0,0.95224
"Bacteroides cellulosilyticus",0.00047,0,0.05013,0,0,0.12795,0.00623,5.06388,0,0.02761,8.88963,1.06575,0.25991,0.01561,0.97882,1.27181,0.0034,0.00018,2.14048,0.00022,0.29113,0,0.00517,2.23651,0,0.08508,2.15216,0,0.00019,0.19169,6.67704,24.07883,0.3374,0,0.05643,0.00111,0.23711,0.10637,0.01599,0,0.33273,16.63351,3.36103,0.15444,0.01064,0.0064,0.00035,0.30811,0.04978,0,0,0
